User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KWH-94256                             82
002                  BCU-27839                            193
003                  PZV-75529                             62
004                  XBC-95594                            189
005                  URL-32968                            170
006                  NHP-43928                             76
007                  NHP-43928                             37
008                  VWM-74278                             24
009                  RLT-57887                            197
010                  AAV-93236                             97
011                  VJN-37687                             31
012                  WBB-69295                            146
013                  KDV-97563                             29
014                  YXL-38878                            126
015                  CQS-93978                             71
016                  WQM-46249                            140
017                  CCG-95482                            157
018                  GZN-34688                             51
019                  PWT-38779                            135
020                  FNL-93857                            132
021                  WQB-83823                              7
022                  HVE-32966                             66
023                  WBB-69295                            100
024                  AJA-56777                             41
025                  HVX-35287                             99
026                  HVX-35287                            163
027                  TNG-52497                            188
028                  DAU-26394                             28
029                  WMD-65834                             90
030                  KMP-52243                            125
031                  GBK-45859                            182
032                  HVE-32966                             39
033                  WBB-69295                            171
034                  RLT-57887                             98
035                  JPJ-26459                            111
036                  YBD-67688                            183
037                  HVX-35287                            158
038                  CDC-36833                             75
039                  FNR-28782                             53
040                  TNA-63396                             22
041                  ZHA-83572                            187
042                  KLA-57296                             85
043                  FTD-84699                             38
044                  BTN-83953                            177
045                  HCY-32686                             94
046                  NVE-67597                            176
047                  BTG-65524                            109
048                  DHY-22445                            165
049                  NHP-43928                            123
050                  YXL-38878                             21
051                  CQS-93978                            128
052                  AJA-56777                            142
053                  WQM-46249                            124
054                  XBC-95594                             32
055                  PQJ-67335                            148
056                  AAV-93236                            113
057                  EPX-87469                            166
058                  TNA-63396                            107
059                  XBC-95594                             23
060                  CDC-36833                             18
061                  SZA-87265                             69
062                  BTN-83953                             25
063                  PWT-38779                             77
064                  BMN-57337                            152
065                  FYK-67999                             79
066                  FNR-28782                             87
067                  ZKV-31415                             10
068                  PNF-53949                            162
069                  BTN-83953                            164
070                  CDC-36833                             64
071                  NHP-43928                            194
072                  ANR-65636                             70
073                  BCU-27839                             50
074                  KLA-57296                              5
075                  LZL-53762                             78
076                  YMA-56284                             73
077                  ZXB-54692                             54
078                  TNX-51117                            185
079                  PQJ-67335                            147
080                  TXF-47848                            145
081                  WQB-83823                            137
082                  CPU-63784                            191
083                  NXD-76943                            168
084                  XBC-95594                            134
085                  XRT-73276                             80
086                  DHY-22445                             27
087                  ZPF-96697                             61
088                  SPN-64546                            167
089                  SPN-64546                             35
090                  WQB-83823                             14
091                  NWL-28282                            115
092                  BTG-65524                             67
093                  GBK-45859                            130
094                  HVE-32966                             46
095                  QBZ-39849                            160
096                  URL-32968                             19
097                  JPJ-26459                             17
098                  YLW-92835                              9
099                  BTG-65524                             26
100                  NWL-28282                            190
