User ID: 84756-04819

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZPF-96697                             90
002                  CPU-63784                             16
003                  HZF-45469                            166
004                  VWM-74278                            112
005                  EFG-46945                            150
006                  VWM-74278                             79
007                  CDC-36833                            141
008                  YXL-38878                            161
009                  NMA-58554                              7
010                  ZKV-31415                            148
011                  SPN-64546                             50
012                  ZKV-31415                            139
013                  TNG-52497                            120
014                  HNB-76282                             70
015                  CDC-36833                            159
016                  GBK-45859                             78
017                  WQB-83823                            192
018                  HCY-32686                            135
019                  BCU-27839                            189
020                  PZV-75529                            105
021                  WQM-46249                             21
022                  CQS-93978                            179
023                  KWH-94256                              1
024                  NVE-67597                             53
025                  XKG-42573                            142
026                  YBD-67688                             12
027                  DHY-22445                             25
028                  WBB-69295                            180
029                  PWT-38779                             28
030                  PHE-99329                             81
031                  WBB-69295                             67
032                  JPJ-26459                            115
033                  NVE-67597                             15
034                  CCG-95482                             56
035                  PNF-53949                             49
036                  BTN-83953                            168
037                  PNF-53949                             54
038                  WQM-46249                             62
039                  FNR-28782                            163
040                  AAV-93236                             34
041                  JPJ-26459                            165
042                  HNB-76282                            131
043                  VXR-68924                             91
044                  AAV-93236                            197
045                  HCY-32686                            137
046                  DAU-26394                            195
047                  FTD-84699                            125
048                  PWT-38779                            149
049                  HVX-35287                            106
050                  XBC-95594                            124
051                  HNB-76282                            157
052                  PQJ-67335                             44
053                  XBC-95594                             55
054                  PZV-75529                             58
055                  TNG-52497                            183
056                  DHY-22445                             57
057                  VXR-68924                            101
058                  ZXB-54692                             51
059                  PNF-53949                              5
060                  NVE-67597                             35
061                  HKZ-33728                            156
062                  CCG-95482                             11
063                  JYL-79355                              8
064                  YXL-38878                             65
065                  HVE-32966                            113
066                  KLA-57296                             69
067                  BTG-65524                             37
068                  WQM-46249                            177
069                  FNR-28782                            129
070                  TQC-49936                             63
071                  LZL-53762                            196
072                  HZF-45469                             46
073                  FNR-28782                             98
074                  WBB-69295                            116
075                  BTG-65524                            200
076                  CDC-36833                            122
077                  TRM-27792                             95
078                  ZXB-54692                             86
079                  ANR-65636                            188
080                  PNF-53949                             27
081                  PWT-38779                            171
082                  GZN-34688                             19
083                  BTN-83953                             73
084                  BTN-83953                             45
085                  WQB-83823                             94
086                  YLW-92835                            103
087                  PQJ-67335                            160
088                  PWT-38779                              2
089                  XBC-95594                            144
090                  XBC-95594                             38
091                  WQB-83823                            162
092                  LNC-68448                            140
093                  WMD-65834                             22
094                  LZL-53762                             47
095                  HNB-76282                            126
096                  PWT-38779                            185
097                  TNX-51117                             23
098                  TRM-27792                             39
099                  NHP-43928                            187
100                  QBZ-39849                             20
