User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WBB-69295                            164
002                  NWL-28282                             44
003                  TLT-23593                             34
004                  PHE-99329                             48
005                  TXF-47848                            158
006                  XRT-73276                            148
007                  GZN-34688                            150
008                  WQB-83823                            191
009                  WBB-69295                            194
010                  WMD-65834                            155
011                  NVE-67597                             31
012                  FNR-28782                             32
013                  NMA-58554                            178
014                  HKZ-33728                             60
015                  XRT-73276                             68
016                  PNF-53949                            186
017                  SZA-87265                            159
018                  TNG-52497                             75
019                  PWT-38779                             80
020                  CQS-93978                            172
021                  AJA-56777                             79
022                  XKG-42573                             17
023                  XBC-95594                            171
024                  HVX-35287                             72
025                  LWR-78574                            135
026                  TQC-49936                            131
027                  AAV-93236                            116
028                  NVE-67597                            166
029                  TXF-47848                            105
030                  LNC-68448                            109
031                  YMA-56284                            152
032                  SPN-64546                            156
033                  HVX-35287                             25
034                  BTG-65524                             49
035                  GBK-45859                             29
036                  EPX-87469                            119
037                  HVX-35287                             57
038                  XKG-42573                             85
039                  HCY-32686                            197
040                  URL-32968                            125
041                  CCG-95482                            168
042                  NXD-76943                             63
043                  YMA-56284                             45
044                  QBD-79865                              4
045                  KDV-97563                            138
046                  ANR-65636                             41
047                  PZV-75529                            102
048                  KQA-89952                             73
049                  URL-32968                             78
050                  CCG-95482                            162
051                  TNX-51117                             89
052                  GMS-89977                             87
053                  NHP-43928                            163
054                  FNR-28782                             12
055                  HNB-76282                             62
056                  DAU-26394                             77
057                  BTG-65524                            139
058                  NVE-67597                             61
059                  HVX-35287                             43
060                  LNC-68448                             38
061                  YBD-67688                             54
062                  VJN-37687                            184
063                  URL-32968                            128
064                  CQS-93978                              8
065                  VJN-37687                            117
066                  PNF-53949                              1
067                  LZL-53762                            175
068                  DAU-26394                            190
069                  NHP-43928                            161
070                  AJA-56777                             56
071                  JPJ-26459                            127
072                  AJA-56777                            189
073                  AJA-56777                             76
074                  ANR-65636                            132
075                  KQA-89952                            187
076                  YXL-38878                            101
077                  GZN-34688                             11
078                  HCY-32686                              5
079                  YXL-38878                             84
080                  FNR-28782                            157
081                  AJA-56777                             47
082                  ZXB-54692                             69
083                  XRT-73276                            144
084                  ZXB-54692                            118
085                  ZXB-54692                             90
086                  KQA-89952                             10
087                  KWH-94256                             24
088                  PZV-75529                             52
089                  YMA-56284                            198
090                  FNR-28782                            114
091                  NXD-76943                            179
092                  AAV-93236                            100
093                  TNA-63396                             42
094                  TNG-52497                            199
095                  YXL-38878                            182
096                  HVE-32966                            134
097                  NMA-58554                             37
098                  RGZ-73449                             13
099                  XRT-73276                             15
100                  GBK-45859                            153
