User ID: 44577-99899

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XJQ-35789                              8
002                  EFG-46945                             11
003                  HVE-32966                             15
004                  URL-32968                             86
005                  JPJ-26459                            167
006                  XBC-95594                             50
007                  WMD-65834                            179
008                  HZF-45469                            169
009                  ZKV-31415                            115
010                  TRM-27792                            131
011                  XBC-95594                            147
012                  KWH-94256                            152
013                  AJA-56777                            196
014                  PNF-53949                            103
015                  GUJ-74444                            158
016                  JVL-65247                             47
017                  EFG-46945                            171
018                  VJN-37687                            133
019                  QBD-79865                            132
020                  JPJ-26459                            102
021                  XBC-95594                             61
022                  JYL-79355                            128
023                  NVE-67597                            120
024                  YBD-67688                            161
025                  EPX-87469                            172
026                  KLA-57296                             88
027                  HZF-45469                            156
028                  QBZ-39849                             99
029                  ZPF-96697                             76
030                  BTN-83953                             71
031                  ZKV-31415                            178
032                  BTN-83953                             14
033                  EFG-46945                            140
034                  DHY-22445                            143
035                  TNA-63396                             75
036                  XRT-73276                            193
037                  WQB-83823                             36
038                  LNC-68448                              7
039                  PWT-38779                            116
040                  VJN-37687                             63
041                  NMA-58554                            137
042                  ANR-65636                             43
043                  QBD-79865                             96
044                  NVE-67597                             12
045                  PZV-75529                            183
046                  KMP-52243                            175
047                  YMA-56284                             56
048                  CDC-36833                            170
049                  JVL-65247                             79
050                  FNL-93857                            104
051                  GMS-89977                             92
052                  GZN-34688                             17
053                  TQC-49936                             22
054                  PHE-99329                             93
055                  XBC-95594                            111
056                  XJQ-35789                             65
057                  VWM-74278                             95
058                  CDC-36833                            127
059                  SZA-87265                             64
060                  TXF-47848                            157
061                  URL-32968                            126
062                  HVX-35287                            186
063                  RGZ-73449                            164
064                  EPX-87469                            141
065                  NVE-67597                            200
066                  JPJ-26459                             78
067                  XBC-95594                             87
068                  TNX-51117                             82
069                  EFG-46945                             51
070                  YMA-56284                            125
071                  NVE-67597                            107
072                  PZV-75529                             25
073                  WQB-83823                             19
074                  YBD-67688                             23
075                  BMN-57337                             32
076                  YMA-56284                            110
077                  PQJ-67335                             18
078                  PQJ-67335                             46
079                  EFG-46945                            160
080                  HZF-45469                            146
081                  NXD-76943                             16
082                  WQB-83823                              9
083                  BMN-57337                             10
084                  BMN-57337                            181
085                  TLT-23593                            198
086                  SPN-64546                            163
087                  ZKV-31415                             21
088                  TLT-23593                             94
089                  GBK-45859                            165
090                  GUJ-74444                            106
091                  QBZ-39849                             48
092                  NXD-76943                            117
093                  JVL-65247                             73
094                  CQS-93978                             29
095                  SPN-64546                             26
096                  EPX-87469                             37
097                  BTG-65524                            144
098                  DHY-22445                            151
099                  BMN-57337                             49
100                  CCG-95482                             28
