User ID: 32489-57596

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NWL-28282                              7
002                  XJQ-35789                             78
003                  JVL-65247                            174
004                  LWR-78574                             55
005                  HNB-76282                             84
006                  ZHA-83572                             88
007                  HZF-45469                             49
008                  HCY-32686                            155
009                  LZL-53762                             59
010                  ZKV-31415                             13
011                  LWR-78574                             80
012                  NVE-67597                             15
013                  GZN-34688                            167
014                  HNB-76282                            177
015                  ZKV-31415                            156
016                  WQM-46249                              3
017                  AAV-93236                             17
018                  HZF-45469                            186
019                  BCU-27839                             53
020                  ZHA-83572                            189
021                  AJA-56777                            103
022                  FTD-84699                             61
023                  PWT-38779                             67
024                  DHY-22445                              8
025                  PZV-75529                            176
026                  PWT-38779                            131
027                  KWH-94256                             34
028                  TLT-23593                             62
029                  RLT-57887                            100
030                  URL-32968                            188
031                  KQA-89952                            108
032                  PNF-53949                            146
033                  GMS-89977                            124
034                  JYL-79355                            119
035                  DAU-26394                             54
036                  GUJ-74444                            172
037                  QBD-79865                             27
038                  TNA-63396                             31
039                  CDC-36833                            147
040                  GZN-34688                             91
041                  RLT-57887                            122
042                  WQB-83823                             93
043                  HKZ-33728                            109
044                  TRM-27792                             82
045                  GBK-45859                             52
046                  WQM-46249                              2
047                  XRT-73276                             22
048                  JPJ-26459                            187
049                  KMP-52243                             26
050                  NMA-58554                             69
051                  WQM-46249                            110
052                  FYK-67999                             37
053                  FNR-28782                            112
054                  AAV-93236                             73
055                  QBZ-39849                             65
056                  CCG-95482                            114
057                  CDC-36833                              5
058                  WQB-83823                            101
059                  TNX-51117                            141
060                  CQS-93978                             39
061                  DAU-26394                              9
062                  CPU-63784                             46
063                  XKG-42573                            196
064                  GUJ-74444                             98
065                  YXL-38878                             70
066                  CDC-36833                            163
067                  URL-32968                            115
068                  QBD-79865                            116
069                  XRT-73276                             92
070                  PZV-75529                            127
071                  BCU-27839                            130
072                  HKZ-33728                            193
073                  KQA-89952                            145
074                  KMP-52243                             40
075                  SPN-64546                              6
076                  LNC-68448                             10
077                  RLT-57887                            173
078                  FNR-28782                            175
079                  RGZ-73449                             28
080                  TNX-51117                            181
081                  XJQ-35789                            194
082                  DAU-26394                             45
083                  TRM-27792                             85
084                  TXF-47848                            199
085                  CPU-63784                            139
086                  VWM-74278                            184
087                  HNB-76282                            120
088                  YXL-38878                             44
089                  AJA-56777                            164
090                  EFG-46945                             19
091                  NVE-67597                            182
092                  FYK-67999                            192
093                  HVX-35287                             87
094                  QBZ-39849                            197
095                  GZN-34688                             94
096                  NWL-28282                            183
097                  NWL-28282                             51
098                  WMD-65834                             77
099                  TQC-49936                             95
100                  PWT-38779                            191
