User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LZL-53762                            131
002                  KDV-97563                            116
003                  AJA-56777                             55
004                  BTG-65524                            120
005                  LZL-53762                            135
006                  PNF-53949                            161
007                  XKG-42573                             78
008                  NWL-28282                             88
009                  RGZ-73449                            147
010                  ZHA-83572                             84
011                  HKZ-33728                            190
012                  RLT-57887                            183
013                  AAV-93236                             49
014                  HVE-32966                              5
015                  GZN-34688                            136
016                  PWT-38779                             37
017                  DHY-22445                            100
018                  JPJ-26459                             94
019                  LZL-53762                            114
020                  XKG-42573                            123
021                  EPX-87469                            174
022                  PQJ-67335                             46
023                  YMA-56284                            171
024                  BTG-65524                             93
025                  DAU-26394                             22
026                  FTD-84699                            166
027                  FNR-28782                             57
028                  YLW-92835                             27
029                  BCU-27839                            160
030                  ZXB-54692                            152
031                  ANR-65636                             96
032                  TNA-63396                              2
033                  ANR-65636                              9
034                  ANR-65636                            129
035                  BMN-57337                            192
036                  URL-32968                            144
037                  HZF-45469                            126
038                  BCU-27839                            165
039                  FTD-84699                            138
040                  LWR-78574                            181
041                  GMS-89977                            176
042                  LWR-78574                            162
043                  ANR-65636                             38
044                  LZL-53762                            184
045                  EPX-87469                             95
046                  VJN-37687                             10
047                  EFG-46945                             58
048                  YMA-56284                             33
049                  DHY-22445                              7
050                  KDV-97563                            119
051                  DHY-22445                            137
052                  WMD-65834                             48
053                  HKZ-33728                             15
054                  RLT-57887                            177
055                  GUJ-74444                            142
056                  VWM-74278                            133
057                  NHP-43928                             12
058                  FNL-93857                             28
059                  BTG-65524                            169
060                  HKZ-33728                             66
061                  ZXB-54692                             92
062                  KLA-57296                             64
063                  WQB-83823                            141
064                  CPU-63784                            108
065                  JVL-65247                            186
066                  TRM-27792                             72
067                  WMD-65834                             69
068                  ZPF-96697                            117
069                  ZXB-54692                             50
070                  RGZ-73449                            113
071                  XBC-95594                             86
072                  LNC-68448                            180
073                  BTN-83953                             59
074                  GZN-34688                             81
075                  DHY-22445                            140
076                  TRM-27792                             14
077                  RLT-57887                             24
078                  SZA-87265                            128
079                  SPN-64546                            127
080                  SPN-64546                             45
081                  GZN-34688                             13
082                  GBK-45859                            193
083                  PZV-75529                             19
084                  KMP-52243                             35
085                  VJN-37687                             77
086                  VJN-37687                            103
087                  XKG-42573                             91
088                  HCY-32686                            189
089                  NVE-67597                              1
090                  RGZ-73449                            149
091                  EFG-46945                            124
092                  NMA-58554                             56
093                  BMN-57337                            115
094                  GBK-45859                             89
095                  KDV-97563                             16
096                  TNA-63396                             71
097                  YXL-38878                             73
098                  PHE-99329                             39
099                  BTN-83953                             21
100                  BMN-57337                            112
