User ID: 68589-74799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                             54
002                  KMP-52243                            126
003                  HKZ-33728                             74
004                  TXF-47848                             22
005                  KWH-94256                             10
006                  VXR-68924                              5
007                  AAV-93236                             14
008                  GZN-34688                             60
009                  WQM-46249                             23
010                  RGZ-73449                            181
011                  SZA-87265                             27
012                  FYK-67999                            100
013                  GUJ-74444                              7
014                  SZA-87265                            180
015                  BCU-27839                             76
016                  PHE-99329                             78
017                  URL-32968                            148
018                  NWL-28282                            177
019                  GBK-45859                            132
020                  FYK-67999                            119
021                  VWM-74278                             56
022                  AAV-93236                             16
023                  ZHA-83572                            127
024                  QBD-79865                            136
025                  GUJ-74444                             18
026                  NVE-67597                            101
027                  GZN-34688                            143
028                  QBZ-39849                             46
029                  VXR-68924                             28
030                  LNC-68448                            137
031                  EFG-46945                             20
032                  BTG-65524                             89
033                  VXR-68924                            162
034                  NXD-76943                             39
035                  XRT-73276                             84
036                  KDV-97563                            195
037                  HVX-35287                            102
038                  ZXB-54692                             66
039                  GUJ-74444                             29
040                  NHP-43928                             97
041                  QBZ-39849                            171
042                  WQM-46249                            124
043                  XBC-95594                            188
044                  TXF-47848                            169
045                  CDC-36833                            111
046                  HZF-45469                            140
047                  XRT-73276                              8
048                  KDV-97563                             31
049                  PWT-38779                             42
050                  TXF-47848                            168
051                  HVE-32966                            108
052                  GZN-34688                            198
053                  VJN-37687                             41
054                  XKG-42573                            193
055                  PWT-38779                             65
056                  PQJ-67335                             81
057                  BCU-27839                             47
058                  CQS-93978                              6
059                  JPJ-26459                            189
060                  HZF-45469                             67
061                  FNL-93857                            147
062                  SPN-64546                            142
063                  GUJ-74444                             19
064                  KMP-52243                             64
065                  KQA-89952                             75
066                  TXF-47848                             69
067                  TLT-23593                            130
068                  VXR-68924                            172
069                  HVE-32966                             37
070                  URL-32968                             52
071                  PWT-38779                             95
072                  JPJ-26459                            187
073                  GMS-89977                             45
074                  PHE-99329                            152
075                  HVX-35287                             32
076                  JYL-79355                            163
077                  TLT-23593                             99
078                  HCY-32686                              1
079                  LZL-53762                             35
080                  KWH-94256                            174
081                  RGZ-73449                            105
082                  GUJ-74444                            194
083                  GZN-34688                            109
084                  LNC-68448                            112
085                  WQM-46249                             79
086                  GZN-34688                             93
087                  RGZ-73449                             98
088                  CQS-93978                            113
089                  SPN-64546                             90
090                  SZA-87265                            133
091                  XJQ-35789                             38
092                  XRT-73276                             21
093                  WQB-83823                            103
094                  BMN-57337                             53
095                  GUJ-74444                             15
096                  EFG-46945                            114
097                  VJN-37687                              9
098                  JYL-79355                            121
099                  TLT-23593                             94
100                  GZN-34688                             55
