User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LWR-78574                            188
002                  TNX-51117                             92
003                  KLA-57296                            145
004                  CPU-63784                              3
005                  NHP-43928                            195
006                  PHE-99329                            109
007                  QBZ-39849                             44
008                  TNA-63396                            149
009                  TXF-47848                             89
010                  QBD-79865                             69
011                  URL-32968                            127
012                  QBZ-39849                            105
013                  QBD-79865                            192
014                  KDV-97563                             18
015                  YLW-92835                            121
016                  XKG-42573                             35
017                  XBC-95594                             21
018                  HCY-32686                            126
019                  WMD-65834                             10
020                  WQM-46249                            176
021                  KDV-97563                             14
022                  TXF-47848                            199
023                  JPJ-26459                             53
024                  NHP-43928                            131
025                  JVL-65247                             22
026                  AAV-93236                            165
027                  NXD-76943                             16
028                  QBD-79865                             81
029                  CCG-95482                            164
030                  QBZ-39849                            101
031                  YLW-92835                            177
032                  BTG-65524                             12
033                  RGZ-73449                             15
034                  CQS-93978                            172
035                  YXL-38878                            196
036                  YMA-56284                            118
037                  QBZ-39849                              9
038                  TLT-23593                              5
039                  AAV-93236                             50
040                  NVE-67597                            103
041                  LWR-78574                            129
042                  ZXB-54692                            123
043                  HZF-45469                            197
044                  PQJ-67335                            120
045                  WQM-46249                            122
046                  WQB-83823                             76
047                  BTN-83953                             85
048                  GUJ-74444                            112
049                  NXD-76943                            171
050                  EPX-87469                             82
051                  LNC-68448                            116
052                  FYK-67999                            106
053                  QBD-79865                             45
054                  YLW-92835                             52
055                  NMA-58554                            155
056                  QBD-79865                            102
057                  KQA-89952                            167
058                  NMA-58554                              8
059                  VXR-68924                            142
060                  ZPF-96697                            137
061                  TXF-47848                            110
062                  TNA-63396                            162
063                  FNR-28782                            108
064                  FTD-84699                              4
065                  LNC-68448                              6
066                  DAU-26394                            117
067                  GUJ-74444                            115
068                  KQA-89952                            107
069                  JYL-79355                            104
070                  PQJ-67335                            136
071                  TXF-47848                             42
072                  YLW-92835                             57
073                  KDV-97563                             66
074                  FYK-67999                            170
075                  VXR-68924                            157
076                  BCU-27839                             43
077                  VJN-37687                             54
078                  KQA-89952                             46
079                  HKZ-33728                             77
080                  VXR-68924                            148
081                  TNA-63396                             87
082                  XKG-42573                             60
083                  BCU-27839                            119
084                  BMN-57337                             59
085                  LWR-78574                             28
086                  YBD-67688                            128
087                  TNX-51117                            125
088                  HVX-35287                             20
089                  GBK-45859                            166
090                  AJA-56777                             72
091                  HVE-32966                             70
092                  TNG-52497                            186
093                  FYK-67999                             97
094                  HVX-35287                             86
095                  NVE-67597                            193
096                  FNL-93857                             93
097                  PZV-75529                             64
098                  EFG-46945                             33
099                  VWM-74278                            168
100                  QBD-79865                             68
