User ID: 99701-55213

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YLW-92835                              7
002                  SZA-87265                            126
003                  KMP-52243                            163
004                  CQS-93978                            117
005                  KDV-97563                            138
006                  TNA-63396                             92
007                  AJA-56777                            140
008                  ZKV-31415                              6
009                  BTG-65524                              2
010                  ZHA-83572                            166
011                  RGZ-73449                             90
012                  XBC-95594                            200
013                  NXD-76943                            141
014                  YLW-92835                            115
015                  YLW-92835                              1
016                  EPX-87469                            185
017                  EPX-87469                            139
018                  PNF-53949                            136
019                  YBD-67688                             23
020                  SPN-64546                            192
021                  SZA-87265                            127
022                  FNR-28782                            122
023                  LWR-78574                             96
024                  RGZ-73449                              8
025                  TNA-63396                             13
026                  TQC-49936                             99
027                  TNG-52497                            110
028                  XKG-42573                             17
029                  YMA-56284                             84
030                  TQC-49936                             68
031                  JPJ-26459                             78
032                  WMD-65834                            125
033                  BTN-83953                             63
034                  WBB-69295                             16
035                  CQS-93978                             25
036                  GMS-89977                             56
037                  TXF-47848                            161
038                  ZPF-96697                            102
039                  HKZ-33728                              4
040                  EPX-87469                             61
041                  NXD-76943                             30
042                  YXL-38878                            153
043                  PNF-53949                             82
044                  ZPF-96697                            131
045                  TRM-27792                            154
046                  PNF-53949                            103
047                  XKG-42573                             19
048                  JYL-79355                            197
049                  WQB-83823                            194
050                  JYL-79355                            175
051                  RGZ-73449                            181
052                  NWL-28282                            101
053                  AAV-93236                             88
054                  GBK-45859                            195
055                  YLW-92835                            167
056                  WBB-69295                            137
057                  ZXB-54692                             67
058                  ZXB-54692                            148
059                  QBD-79865                             72
060                  PWT-38779                             20
061                  JPJ-26459                             83
062                  WBB-69295                            134
063                  BTG-65524                            121
064                  TNA-63396                             35
065                  BCU-27839                             10
066                  KDV-97563                            109
067                  LWR-78574                             32
068                  GZN-34688                            199
069                  YBD-67688                            150
070                  XJQ-35789                             76
071                  TLT-23593                            123
072                  EPX-87469                            177
073                  WMD-65834                            143
074                  GMS-89977                             64
075                  DHY-22445                            172
076                  VWM-74278                             46
077                  XRT-73276                             98
078                  AJA-56777                             91
079                  NMA-58554                            112
080                  YMA-56284                             81
081                  WQM-46249                             39
082                  QBZ-39849                             40
083                  LZL-53762                             28
084                  QBD-79865                             79
085                  ANR-65636                             41
086                  KMP-52243                            183
087                  GZN-34688                             12
088                  BCU-27839                             89
089                  KMP-52243                             37
090                  KDV-97563                              3
091                  BTN-83953                            129
092                  FNL-93857                             86
093                  VWM-74278                            156
094                  LZL-53762                             55
095                  KMP-52243                            104
096                  PWT-38779                             49
097                  EFG-46945                             47
098                  TLT-23593                            165
099                  KQA-89952                            105
100                  CDC-36833                             18
