User ID: 73632-00344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZKV-31415                              3
002                  XRT-73276                            124
003                  JYL-79355                            146
004                  RLT-57887                            104
005                  PNF-53949                            134
006                  BCU-27839                             53
007                  ZHA-83572                             44
008                  CCG-95482                            139
009                  QBD-79865                            115
010                  WQB-83823                             93
011                  XBC-95594                            198
012                  JVL-65247                            181
013                  BTG-65524                             88
014                  AAV-93236                            194
015                  KDV-97563                            133
016                  RGZ-73449                            130
017                  ZKV-31415                             18
018                  KDV-97563                            110
019                  RGZ-73449                             47
020                  GBK-45859                            196
021                  FYK-67999                            128
022                  AJA-56777                             89
023                  YMA-56284                             20
024                  XRT-73276                             41
025                  HKZ-33728                            177
026                  PHE-99329                             13
027                  HNB-76282                            120
028                  KDV-97563                             65
029                  GMS-89977                            137
030                  KDV-97563                             50
031                  WQM-46249                             69
032                  BTG-65524                              1
033                  ZKV-31415                            153
034                  ZPF-96697                             15
035                  KLA-57296                            149
036                  PHE-99329                             95
037                  LNC-68448                            166
038                  TQC-49936                            114
039                  LWR-78574                            117
040                  CDC-36833                            121
041                  XRT-73276                            164
042                  GZN-34688                            168
043                  ZKV-31415                            152
044                  DAU-26394                            101
045                  CPU-63784                             72
046                  NMA-58554                             48
047                  QBZ-39849                             61
048                  CPU-63784                            112
049                  ZHA-83572                            165
050                  NWL-28282                            131
051                  CCG-95482                             36
052                  GZN-34688                             98
053                  NHP-43928                            102
054                  CDC-36833                             46
055                  ZHA-83572                            125
056                  ZPF-96697                            170
057                  PNF-53949                             19
058                  HZF-45469                             94
059                  GBK-45859                            173
060                  FNR-28782                             78
061                  ANR-65636                             85
062                  NMA-58554                            191
063                  ZXB-54692                             82
064                  JYL-79355                            174
065                  SZA-87265                            138
066                  CPU-63784                             28
067                  PQJ-67335                             59
068                  HCY-32686                            106
069                  LZL-53762                            129
070                  CDC-36833                            118
071                  WQB-83823                             87
072                  BTN-83953                             39
073                  FYK-67999                            107
074                  KQA-89952                            122
075                  NMA-58554                            195
076                  WQM-46249                             70
077                  WBB-69295                             10
078                  CCG-95482                            142
079                  TXF-47848                            185
080                  TNA-63396                            100
081                  DHY-22445                             33
082                  PQJ-67335                             68
083                  QBD-79865                             55
084                  NHP-43928                            144
085                  YLW-92835                            147
086                  EFG-46945                            171
087                  GZN-34688                            143
088                  HCY-32686                            172
089                  ANR-65636                            163
090                  CCG-95482                             26
091                  JPJ-26459                              2
092                  CDC-36833                            105
093                  WQB-83823                             77
094                  PQJ-67335                            169
095                  QBD-79865                            187
096                  BTN-83953                            123
097                  PQJ-67335                             91
098                  RGZ-73449                             14
099                  TRM-27792                             76
100                  TNX-51117                             62
