User ID: 84756-04819

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KDV-97563                            198
002                  HCY-32686                             72
003                  JPJ-26459                             11
004                  TRM-27792                            173
005                  VWM-74278                            155
006                  BCU-27839                            134
007                  PQJ-67335                             96
008                  URL-32968                            156
009                  ANR-65636                             35
010                  GBK-45859                             51
011                  NWL-28282                            162
012                  GMS-89977                             20
013                  KLA-57296                            153
014                  NMA-58554                             12
015                  TRM-27792                            133
016                  LZL-53762                             79
017                  LWR-78574                            176
018                  WQM-46249                             67
019                  HKZ-33728                             45
020                  SPN-64546                             41
021                  TNA-63396                             21
022                  CCG-95482                             99
023                  CPU-63784                             86
024                  PQJ-67335                            114
025                  NXD-76943                            139
026                  QBZ-39849                             85
027                  WMD-65834                             64
028                  FYK-67999                            136
029                  XBC-95594                            192
030                  LZL-53762                             24
031                  XBC-95594                            103
032                  QBZ-39849                            151
033                  PQJ-67335                            200
034                  VJN-37687                             42
035                  HNB-76282                            138
036                  YXL-38878                             88
037                  WMD-65834                            171
038                  CQS-93978                             23
039                  ZKV-31415                             89
040                  WMD-65834                             95
041                  TXF-47848                             87
042                  WMD-65834                             37
043                  YBD-67688                             29
044                  XKG-42573                            106
045                  FTD-84699                             36
046                  FTD-84699                            112
047                  PHE-99329                             16
048                  WQM-46249                             31
049                  TNA-63396                            196
050                  BTG-65524                             14
051                  FYK-67999                             19
052                  TNG-52497                            145
053                  DAU-26394                            185
054                  KMP-52243                            189
055                  HZF-45469                            129
056                  NWL-28282                            167
057                  CPU-63784                              8
058                  SZA-87265                             83
059                  DHY-22445                            152
060                  PWT-38779                              5
061                  CQS-93978                            163
062                  GUJ-74444                            147
063                  ZPF-96697                            130
064                  KMP-52243                            104
065                  FNL-93857                             53
066                  DAU-26394                             76
067                  HCY-32686                             52
068                  ZPF-96697                             28
069                  TRM-27792                              7
070                  LNC-68448                              6
071                  NWL-28282                            168
072                  BTN-83953                            118
073                  WQB-83823                             30
074                  VWM-74278                             92
075                  WQB-83823                            160
076                  TNA-63396                             32
077                  JPJ-26459                            186
078                  TNX-51117                             49
079                  BCU-27839                            172
080                  PZV-75529                             55
081                  NXD-76943                            191
082                  XKG-42573                            158
083                  LZL-53762                            183
084                  LNC-68448                             27
085                  VXR-68924                            127
086                  JPJ-26459                             66
087                  BTG-65524                            105
088                  ZPF-96697                             75
089                  TNG-52497                             98
090                  XBC-95594                            157
091                  AJA-56777                            135
092                  ZHA-83572                            111
093                  GBK-45859                            182
094                  HNB-76282                            107
095                  RLT-57887                            169
096                  BCU-27839                             13
097                  NMA-58554                            146
098                  KQA-89952                            178
099                  CDC-36833                            122
100                  KDV-97563                             58
