User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WBB-69295                            127
002                  HCY-32686                             16
003                  JPJ-26459                            181
004                  HNB-76282                             72
005                  HVX-35287                             50
006                  VWM-74278                              5
007                  WBB-69295                             59
008                  RLT-57887                            199
009                  PZV-75529                            118
010                  HZF-45469                            176
011                  GMS-89977                              1
012                  BCU-27839                            172
013                  NMA-58554                            116
014                  NHP-43928                             11
015                  NHP-43928                             64
016                  TNX-51117                             23
017                  WBB-69295                            142
018                  PHE-99329                             79
019                  HNB-76282                             65
020                  HVX-35287                            125
021                  TNG-52497                             55
022                  HVX-35287                            126
023                  SPN-64546                            159
024                  CPU-63784                            145
025                  VJN-37687                            154
026                  YMA-56284                            136
027                  VJN-37687                            198
028                  JVL-65247                             49
029                  YLW-92835                            122
030                  YXL-38878                             83
031                  FTD-84699                             69
032                  FTD-84699                             78
033                  EFG-46945                             62
034                  YXL-38878                             10
035                  EFG-46945                            119
036                  CDC-36833                             67
037                  BCU-27839                            110
038                  JPJ-26459                            151
039                  WQB-83823                             22
040                  PNF-53949                            152
041                  TNA-63396                            105
042                  HKZ-33728                            165
043                  QBZ-39849                            173
044                  NXD-76943                            109
045                  FTD-84699                             91
046                  XRT-73276                             84
047                  TNA-63396                            103
048                  BCU-27839                            180
049                  GBK-45859                            155
050                  AJA-56777                            187
051                  BMN-57337                             76
052                  TXF-47848                             44
053                  ZXB-54692                            107
054                  NHP-43928                              8
055                  KQA-89952                             36
056                  EFG-46945                            130
057                  TRM-27792                            140
058                  DAU-26394                             93
059                  YMA-56284                            182
060                  XKG-42573                             56
061                  WBB-69295                            104
062                  KLA-57296                             19
063                  TNA-63396                            106
064                  EFG-46945                            157
065                  HVX-35287                             26
066                  PWT-38779                             66
067                  HZF-45469                            192
068                  NMA-58554                            178
069                  WMD-65834                             48
070                  FYK-67999                             77
071                  ZXB-54692                            169
072                  KQA-89952                             37
073                  TLT-23593                            161
074                  ANR-65636                            113
075                  YLW-92835                             14
076                  GMS-89977                             88
077                  XRT-73276                            153
078                  GZN-34688                             20
079                  NXD-76943                             30
080                  HVX-35287                            162
081                  BTG-65524                             92
082                  CPU-63784                            146
083                  HCY-32686                            197
084                  WQM-46249                            149
085                  PQJ-67335                             33
086                  ANR-65636                             46
087                  VJN-37687                             87
088                  LZL-53762                            114
089                  YXL-38878                             60
090                  CDC-36833                             97
091                  RGZ-73449                            188
092                  ZPF-96697                             68
093                  HNB-76282                             52
094                  GUJ-74444                            144
095                  BMN-57337                            174
096                  WQM-46249                             70
097                  PWT-38779                            129
098                  WBB-69295                            111
099                  PQJ-67335                            121
100                  VXR-68924                            138
