User ID: 69069-29232

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBZ-39849                            196
002                  YXL-38878                              1
003                  NHP-43928                             79
004                  TNA-63396                            133
005                  ZKV-31415                            136
006                  JYL-79355                             18
007                  EPX-87469                             96
008                  CDC-36833                             93
009                  QBD-79865                             38
010                  NHP-43928                             65
011                  ZHA-83572                             43
012                  TNG-52497                            138
013                  XBC-95594                             51
014                  NHP-43928                              4
015                  KWH-94256                             55
016                  KMP-52243                            126
017                  JYL-79355                             13
018                  TNX-51117                            120
019                  HCY-32686                             84
020                  LWR-78574                             66
021                  NXD-76943                            142
022                  YXL-38878                             50
023                  YLW-92835                             74
024                  RGZ-73449                             24
025                  FTD-84699                             72
026                  ZKV-31415                             89
027                  NHP-43928                            105
028                  BMN-57337                            122
029                  BCU-27839                            200
030                  XRT-73276                              7
031                  TNA-63396                              8
032                  FYK-67999                            127
033                  ZXB-54692                             94
034                  BTG-65524                            106
035                  NVE-67597                             77
036                  FTD-84699                            112
037                  RLT-57887                             40
038                  GZN-34688                            185
039                  CDC-36833                            172
040                  HVX-35287                             45
041                  DAU-26394                             52
042                  PQJ-67335                             59
043                  ZXB-54692                             75
044                  YBD-67688                             48
045                  GUJ-74444                             88
046                  VJN-37687                             82
047                  YXL-38878                            109
048                  WQM-46249                             23
049                  YMA-56284                             97
050                  EPX-87469                            189
051                  KLA-57296                             91
052                  WBB-69295                            149
053                  ANR-65636                            190
054                  GZN-34688                             54
055                  QBZ-39849                            129
056                  WQM-46249                            155
057                  NMA-58554                            199
058                  XJQ-35789                            104
059                  XJQ-35789                            170
060                  YBD-67688                             22
061                  URL-32968                             63
062                  ZXB-54692                             41
063                  SPN-64546                             58
064                  ZPF-96697                            141
065                  CQS-93978                            194
066                  BTG-65524                            125
067                  ZHA-83572                             95
068                  XRT-73276                             35
069                  QBZ-39849                            169
070                  ZHA-83572                             15
071                  ZXB-54692                             39
072                  XBC-95594                             99
073                  AAV-93236                             20
074                  FYK-67999                            139
075                  JPJ-26459                            132
076                  FTD-84699                             12
077                  TNA-63396                            176
078                  PWT-38779                             86
079                  CPU-63784                             92
080                  FNL-93857                            163
081                  YBD-67688                             16
082                  URL-32968                            123
083                  YMA-56284                            130
084                  XJQ-35789                            175
085                  XRT-73276                             29
086                  TLT-23593                            116
087                  KDV-97563                             70
088                  BTN-83953                            166
089                  DAU-26394                             26
090                  TRM-27792                             71
091                  YMA-56284                             30
092                  WMD-65834                             83
093                  VXR-68924                             47
094                  KMP-52243                             64
095                  WMD-65834                            186
096                  PHE-99329                             27
097                  TQC-49936                             98
098                  HZF-45469                            183
099                  NHP-43928                             11
100                  TQC-49936                              9
