User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SZA-87265                             59
002                  BMN-57337                             52
003                  KLA-57296                            129
004                  ZPF-96697                             78
005                  TXF-47848                            196
006                  YXL-38878                            107
007                  NXD-76943                            141
008                  RGZ-73449                              2
009                  YMA-56284                             37
010                  HVE-32966                             72
011                  QBZ-39849                             49
012                  KMP-52243                             25
013                  XBC-95594                             56
014                  NXD-76943                             50
015                  TNX-51117                            170
016                  RLT-57887                             27
017                  URL-32968                             80
018                  FTD-84699                            146
019                  KDV-97563                            189
020                  HKZ-33728                            151
021                  CPU-63784                            163
022                  WBB-69295                              5
023                  URL-32968                            150
024                  EPX-87469                            117
025                  BTN-83953                            186
026                  GMS-89977                             11
027                  BTN-83953                            159
028                  GBK-45859                              4
029                  YBD-67688                             67
030                  XRT-73276                            143
031                  KWH-94256                            149
032                  YMA-56284                            130
033                  NXD-76943                             28
034                  HKZ-33728                             82
035                  FNL-93857                            182
036                  AJA-56777                             93
037                  NWL-28282                             10
038                  NXD-76943                             15
039                  XJQ-35789                            162
040                  VJN-37687                            119
041                  HNB-76282                            138
042                  BTG-65524                            111
043                  XRT-73276                             79
044                  YXL-38878                            174
045                  ANR-65636                            140
046                  GMS-89977                            181
047                  KLA-57296                            101
048                  URL-32968                              9
049                  FNR-28782                             88
050                  PZV-75529                             39
051                  XRT-73276                             69
052                  NMA-58554                            158
053                  NMA-58554                            115
054                  XRT-73276                             97
055                  WBB-69295                             74
056                  KLA-57296                             23
057                  ZXB-54692                             62
058                  FNR-28782                             68
059                  WQB-83823                             90
060                  ZXB-54692                            128
061                  GMS-89977                             94
062                  URL-32968                            165
063                  VWM-74278                            147
064                  FYK-67999                             32
065                  XKG-42573                            148
066                  HVE-32966                             73
067                  WBB-69295                            106
068                  LWR-78574                            175
069                  KDV-97563                             31
070                  GMS-89977                            157
071                  RLT-57887                             66
072                  DAU-26394                              6
073                  PHE-99329                             99
074                  BCU-27839                             75
075                  ZXB-54692                             19
076                  BCU-27839                             70
077                  HKZ-33728                            184
078                  TNX-51117                             24
079                  XJQ-35789                            197
080                  TQC-49936                            142
081                  HZF-45469                            169
082                  BCU-27839                            195
083                  KQA-89952                            156
084                  HVE-32966                            188
085                  NXD-76943                             40
086                  PNF-53949                             29
087                  GMS-89977                            109
088                  LZL-53762                            193
089                  NXD-76943                            112
090                  WBB-69295                            155
091                  KQA-89952                            194
092                  SZA-87265                             84
093                  XBC-95594                            177
094                  ZHA-83572                            125
095                  HVE-32966                             60
096                  FYK-67999                            132
097                  ANR-65636                            137
098                  KLA-57296                            104
099                  QBZ-39849                            121
100                  DHY-22445                            199
