User ID: 48757-77990

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTG-65524                             18
002                  BCU-27839                            111
003                  CQS-93978                             15
004                  KMP-52243                              8
005                  PNF-53949                            141
006                  EFG-46945                             69
007                  JVL-65247                            149
008                  TQC-49936                            179
009                  TNA-63396                            101
010                  HZF-45469                            200
011                  SPN-64546                            193
012                  VJN-37687                            128
013                  YXL-38878                            116
014                  AAV-93236                              1
015                  NXD-76943                            164
016                  CPU-63784                             21
017                  FYK-67999                            132
018                  WQM-46249                             57
019                  EFG-46945                             48
020                  LWR-78574                             71
021                  XRT-73276                             17
022                  ZHA-83572                            185
023                  KLA-57296                             40
024                  PZV-75529                             49
025                  TNG-52497                             97
026                  LZL-53762                             10
027                  KWH-94256                             60
028                  BTN-83953                             63
029                  GMS-89977                            150
030                  AJA-56777                             31
031                  NMA-58554                             45
032                  GZN-34688                             80
033                  WMD-65834                            184
034                  WBB-69295                             75
035                  BTN-83953                             39
036                  ZKV-31415                             13
037                  GZN-34688                             34
038                  HNB-76282                            144
039                  KDV-97563                            109
040                  XBC-95594                             19
041                  GZN-34688                             38
042                  HNB-76282                            151
043                  VJN-37687                             37
044                  WQB-83823                            188
045                  PQJ-67335                              7
046                  CQS-93978                             24
047                  NHP-43928                             58
048                  SZA-87265                             51
049                  BTN-83953                            135
050                  WQM-46249                            160
051                  VWM-74278                            197
052                  KQA-89952                            121
053                  TNX-51117                            114
054                  RGZ-73449                            161
055                  YLW-92835                            163
056                  XKG-42573                            107
057                  TRM-27792                             73
058                  RGZ-73449                             59
059                  HVX-35287                            158
060                  TNG-52497                            178
061                  HVE-32966                            198
062                  BTN-83953                            143
063                  FYK-67999                             33
064                  WBB-69295                            125
065                  YMA-56284                            126
066                  EPX-87469                             54
067                  VJN-37687                            120
068                  GZN-34688                            124
069                  TNX-51117                             81
070                  HVX-35287                            102
071                  PWT-38779                             77
072                  HVE-32966                            199
073                  BTN-83953                              2
074                  QBD-79865                            142
075                  EPX-87469                             25
076                  FYK-67999                            148
077                  NMA-58554                             29
078                  CPU-63784                             46
079                  RLT-57887                             36
080                  AAV-93236                             23
081                  CQS-93978                             32
082                  BTN-83953                             86
083                  KLA-57296                             55
084                  KDV-97563                            146
085                  XKG-42573                            159
086                  NMA-58554                             65
087                  QBD-79865                             30
088                  FYK-67999                             91
089                  ZXB-54692                            167
090                  HKZ-33728                            103
091                  HKZ-33728                            113
092                  LZL-53762                            165
093                  VJN-37687                             79
094                  DAU-26394                             27
095                  URL-32968                              4
096                  GBK-45859                            156
097                  KMP-52243                            105
098                  BCU-27839                             88
099                  BMN-57337                            133
100                  AAV-93236                            175
