User ID: 63581-09884

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBZ-39849                             59
002                  XKG-42573                             43
003                  ANR-65636                             13
004                  RGZ-73449                            142
005                  HCY-32686                            102
006                  FTD-84699                            196
007                  PWT-38779                            185
008                  YMA-56284                             35
009                  EFG-46945                             15
010                  ZXB-54692                             61
011                  HVE-32966                             69
012                  HNB-76282                            144
013                  ZKV-31415                            149
014                  XBC-95594                             53
015                  FNR-28782                             18
016                  KMP-52243                             52
017                  HVE-32966                            161
018                  HVX-35287                             23
019                  XRT-73276                            177
020                  YXL-38878                            131
021                  KDV-97563                             63
022                  KDV-97563                             84
023                  WBB-69295                            111
024                  TNA-63396                             12
025                  VXR-68924                            163
026                  SZA-87265                             26
027                  QBD-79865                             39
028                  PQJ-67335                              1
029                  TNG-52497                            148
030                  HCY-32686                             77
031                  EFG-46945                             20
032                  TRM-27792                             73
033                  FTD-84699                            107
034                  XKG-42573                             32
035                  DAU-26394                            180
036                  JPJ-26459                             29
037                  SPN-64546                             81
038                  KLA-57296                             72
039                  KWH-94256                             31
040                  FYK-67999                             58
041                  CDC-36833                            200
042                  KQA-89952                            167
043                  PHE-99329                            132
044                  ZPF-96697                            118
045                  VXR-68924                             75
046                  XBC-95594                            155
047                  ZHA-83572                            104
048                  SPN-64546                              7
049                  FTD-84699                             74
050                  ZXB-54692                            154
051                  FYK-67999                            103
052                  TNA-63396                            115
053                  HCY-32686                            151
054                  RLT-57887                            173
055                  URL-32968                             90
056                  QBZ-39849                            123
057                  AJA-56777                             30
058                  YXL-38878                            152
059                  SPN-64546                            153
060                  JVL-65247                            194
061                  GMS-89977                            108
062                  HZF-45469                             57
063                  BTN-83953                             51
064                  HNB-76282                             40
065                  AAV-93236                            133
066                  YBD-67688                             24
067                  BMN-57337                             97
068                  JPJ-26459                            188
069                  CPU-63784                             80
070                  NMA-58554                            129
071                  BCU-27839                            179
072                  GZN-34688                            189
073                  XJQ-35789                             93
074                  QBZ-39849                             46
075                  LNC-68448                            100
076                  BTN-83953                            109
077                  TXF-47848                             44
078                  ANR-65636                            139
079                  KLA-57296                             62
080                  PZV-75529                            138
081                  HVX-35287                             36
082                  HKZ-33728                            121
083                  EPX-87469                             92
084                  DHY-22445                            190
085                  VWM-74278                            198
086                  FNR-28782                            130
087                  KLA-57296                             89
088                  LWR-78574                            186
089                  TNA-63396                            143
090                  CQS-93978                             42
091                  FTD-84699                            140
092                  BMN-57337                            119
093                  EPX-87469                             85
094                  PHE-99329                             17
095                  WQM-46249                             25
096                  TNX-51117                             16
097                  NWL-28282                              2
098                  HVE-32966                            105
099                  BTN-83953                             99
100                  GMS-89977                             96
