User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DHY-22445                            161
002                  JVL-65247                            120
003                  NMA-58554                            177
004                  YLW-92835                             67
005                  PNF-53949                            143
006                  CQS-93978                             14
007                  YXL-38878                            131
008                  EPX-87469                            111
009                  BTG-65524                            140
010                  NMA-58554                             99
011                  AJA-56777                            199
012                  KDV-97563                            117
013                  PZV-75529                             29
014                  PWT-38779                            142
015                  TXF-47848                             50
016                  CPU-63784                            165
017                  YXL-38878                             69
018                  HNB-76282                             16
019                  VJN-37687                             38
020                  TLT-23593                            196
021                  NMA-58554                            182
022                  ZPF-96697                            103
023                  BTN-83953                             37
024                  WQM-46249                             15
025                  FTD-84699                            134
026                  XJQ-35789                            192
027                  VWM-74278                            193
028                  KDV-97563                              1
029                  AJA-56777                              2
030                  HVE-32966                             78
031                  QBD-79865                             43
032                  GZN-34688                            136
033                  JYL-79355                            128
034                  PZV-75529                             76
035                  QBZ-39849                             59
036                  HCY-32686                             10
037                  KMP-52243                            146
038                  NMA-58554                             26
039                  HKZ-33728                             61
040                  BTG-65524                            163
041                  TXF-47848                            145
042                  WQB-83823                            109
043                  TQC-49936                             48
044                  CQS-93978                             64
045                  ZXB-54692                             49
046                  NHP-43928                            175
047                  ZPF-96697                             75
048                  ZHA-83572                            126
049                  TXF-47848                            121
050                  ZKV-31415                            108
051                  LNC-68448                             31
052                  HZF-45469                             82
053                  WBB-69295                            183
054                  PZV-75529                             51
055                  HVE-32966                             56
056                  XBC-95594                            132
057                  LZL-53762                            152
058                  TQC-49936                             42
059                  VXR-68924                             65
060                  KQA-89952                             46
061                  TRM-27792                             33
062                  HVX-35287                            148
063                  GUJ-74444                            173
064                  KMP-52243                             34
065                  YBD-67688                             13
066                  TXF-47848                             90
067                  HVX-35287                            135
068                  TRM-27792                            150
069                  CPU-63784                            133
070                  TQC-49936                             45
071                  ZKV-31415                            172
072                  AAV-93236                            151
073                  PHE-99329                            162
074                  XRT-73276                             93
075                  CCG-95482                            158
076                  AJA-56777                             12
077                  VJN-37687                             62
078                  JVL-65247                             54
079                  TNA-63396                             97
080                  SPN-64546                             70
081                  FNR-28782                             25
082                  HCY-32686                             79
083                  NXD-76943                            190
084                  WQM-46249                            167
085                  WQB-83823                             91
086                  XJQ-35789                             71
087                  HVX-35287                            110
088                  YBD-67688                            181
089                  JVL-65247                            102
090                  ZKV-31415                             22
091                  FNR-28782                            195
092                  SPN-64546                            100
093                  SPN-64546                             36
094                  BCU-27839                              3
095                  YLW-92835                             41
096                  HCY-32686                             47
097                  WQM-46249                             60
098                  NHP-43928                            127
099                  KQA-89952                             28
100                  DHY-22445                              9
