User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTG-65524                             10
002                  WQM-46249                            128
003                  WQM-46249                            152
004                  BTG-65524                             41
005                  SPN-64546                            187
006                  HVE-32966                             53
007                  FNR-28782                              2
008                  JVL-65247                            181
009                  LWR-78574                            105
010                  DHY-22445                             60
011                  YXL-38878                             39
012                  SZA-87265                            189
013                  BMN-57337                            110
014                  XRT-73276                             86
015                  JPJ-26459                             57
016                  TLT-23593                             13
017                  HCY-32686                             73
018                  PHE-99329                            150
019                  CCG-95482                            114
020                  RLT-57887                             74
021                  WQM-46249                             75
022                  NVE-67597                             72
023                  PWT-38779                            140
024                  PZV-75529                             68
025                  LZL-53762                            163
026                  QBZ-39849                            148
027                  DAU-26394                            144
028                  SZA-87265                            118
029                  NHP-43928                              7
030                  SPN-64546                            119
031                  DHY-22445                            132
032                  KWH-94256                             45
033                  EFG-46945                             32
034                  RGZ-73449                            136
035                  EFG-46945                             15
036                  ANR-65636                            135
037                  PWT-38779                             20
038                  VJN-37687                             26
039                  BCU-27839                             92
040                  ANR-65636                             66
041                  DHY-22445                             87
042                  XKG-42573                            112
043                  TNA-63396                            156
044                  WQB-83823                             30
045                  YXL-38878                              4
046                  JYL-79355                            162
047                  PHE-99329                            185
048                  PQJ-67335                            193
049                  XBC-95594                             28
050                  TNA-63396                             36
051                  LNC-68448                             90
052                  XJQ-35789                             55
053                  LNC-68448                            169
054                  HCY-32686                            115
055                  GBK-45859                             11
056                  YXL-38878                            172
057                  JYL-79355                            198
058                  LNC-68448                              8
059                  TXF-47848                            120
060                  NXD-76943                              3
061                  VXR-68924                            195
062                  KLA-57296                            102
063                  VWM-74278                            194
064                  KDV-97563                            161
065                  XBC-95594                            134
066                  PWT-38779                            131
067                  JYL-79355                            117
068                  HVX-35287                             85
069                  KDV-97563                            159
070                  QBZ-39849                             24
071                  SPN-64546                            141
072                  YLW-92835                             34
073                  XRT-73276                            109
074                  HVX-35287                            199
075                  ZHA-83572                             35
076                  XJQ-35789                             94
077                  FNL-93857                             93
078                  NVE-67597                             18
079                  KWH-94256                            137
080                  BMN-57337                            179
081                  DHY-22445                            143
082                  HVE-32966                             65
083                  KQA-89952                             42
084                  WQB-83823                             38
085                  ZPF-96697                             31
086                  JVL-65247                            166
087                  XKG-42573                              6
088                  HVE-32966                            111
089                  KDV-97563                              1
090                  SPN-64546                             29
091                  GBK-45859                            126
092                  BCU-27839                            124
093                  KLA-57296                             51
094                  VWM-74278                            158
095                  XJQ-35789                            174
096                  FNL-93857                            127
097                  NVE-67597                            147
098                  PNF-53949                            153
099                  LZL-53762                            190
100                  YLW-92835                            200
