User ID: 41724-49926

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                             44
002                  KWH-94256                             28
003                  WMD-65834                            195
004                  NMA-58554                             65
005                  WBB-69295                             66
006                  HVE-32966                            112
007                  JVL-65247                              4
008                  DHY-22445                            147
009                  PNF-53949                            133
010                  TQC-49936                             18
011                  AAV-93236                            108
012                  WQM-46249                             75
013                  CDC-36833                            148
014                  XJQ-35789                            105
015                  KDV-97563                            182
016                  CCG-95482                            155
017                  TQC-49936                            163
018                  KQA-89952                            171
019                  BCU-27839                             13
020                  WMD-65834                            167
021                  KQA-89952                             90
022                  AAV-93236                            159
023                  DAU-26394                            197
024                  ZKV-31415                            175
025                  BCU-27839                            130
026                  TXF-47848                            174
027                  WBB-69295                            173
028                  BCU-27839                              6
029                  NMA-58554                            149
030                  GBK-45859                            193
031                  HZF-45469                            160
032                  RGZ-73449                             22
033                  FNL-93857                            198
034                  WQM-46249                            107
035                  TQC-49936                             78
036                  CQS-93978                            178
037                  VJN-37687                             93
038                  KDV-97563                            120
039                  TLT-23593                            117
040                  CCG-95482                             33
041                  JYL-79355                            111
042                  WQB-83823                             95
043                  LWR-78574                             35
044                  NHP-43928                            184
045                  JVL-65247                            188
046                  SZA-87265                            144
047                  JPJ-26459                            156
048                  HNB-76282                             89
049                  AAV-93236                             51
050                  CQS-93978                            118
051                  ANR-65636                            190
052                  ZXB-54692                            104
053                  WQB-83823                             86
054                  CDC-36833                            172
055                  PHE-99329                             14
056                  NWL-28282                             26
057                  XRT-73276                            164
058                  KLA-57296                             99
059                  ZXB-54692                            109
060                  AAV-93236                             16
061                  TRM-27792                             31
062                  KLA-57296                            138
063                  FNL-93857                             94
064                  DHY-22445                             19
065                  PZV-75529                            165
066                  FNL-93857                             27
067                  BCU-27839                            103
068                  YXL-38878                             41
069                  XJQ-35789                             64
070                  SZA-87265                            131
071                  TNX-51117                            158
072                  GMS-89977                             58
073                  KMP-52243                             61
074                  WMD-65834                            127
075                  TNG-52497                            140
076                  KDV-97563                             59
077                  NHP-43928                            154
078                  HVE-32966                            128
079                  PHE-99329                            176
080                  SZA-87265                             50
081                  XBC-95594                            191
082                  YBD-67688                            137
083                  GZN-34688                             57
084                  HCY-32686                             74
085                  CPU-63784                            135
086                  KQA-89952                            142
087                  SPN-64546                             82
088                  WMD-65834                             71
089                  LNC-68448                             97
090                  TRM-27792                            181
091                  JVL-65247                            136
092                  KQA-89952                            186
093                  KWH-94256                            187
094                  PQJ-67335                             81
095                  GUJ-74444                              3
096                  YLW-92835                             62
097                  HNB-76282                            157
098                  AAV-93236                             52
099                  FNR-28782                            129
100                  HKZ-33728                             34
