User ID: 75471-28954

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NXD-76943                            113
002                  LNC-68448                            176
003                  ANR-65636                              2
004                  LNC-68448                            183
005                  TQC-49936                             23
006                  GUJ-74444                            160
007                  WBB-69295                            158
008                  CDC-36833                             92
009                  FNL-93857                            139
010                  SZA-87265                             71
011                  BTG-65524                             80
012                  XKG-42573                             74
013                  BMN-57337                             48
014                  XKG-42573                            173
015                  XJQ-35789                            117
016                  KQA-89952                             38
017                  AAV-93236                            104
018                  KQA-89952                            134
019                  HNB-76282                            111
020                  NWL-28282                            112
021                  WMD-65834                             82
022                  PHE-99329                             75
023                  GBK-45859                              3
024                  NXD-76943                            151
025                  PHE-99329                            102
026                  FNL-93857                            177
027                  KWH-94256                             32
028                  TXF-47848                            165
029                  TNA-63396                            142
030                  JPJ-26459                             42
031                  GUJ-74444                             25
032                  TRM-27792                             51
033                  RLT-57887                            147
034                  HCY-32686                            133
035                  JPJ-26459                             41
036                  CQS-93978                             44
037                  YBD-67688                             69
038                  KWH-94256                             55
039                  AAV-93236                            149
040                  QBZ-39849                            179
041                  BCU-27839                            161
042                  LWR-78574                            119
043                  TNA-63396                            128
044                  RLT-57887                              9
045                  NHP-43928                             91
046                  NWL-28282                             88
047                  PWT-38779                            169
048                  CCG-95482                             17
049                  HVX-35287                             89
050                  XRT-73276                             31
051                  KQA-89952                            189
052                  URL-32968                            150
053                  HZF-45469                            124
054                  YLW-92835                             36
055                  LWR-78574                            110
056                  WBB-69295                            170
057                  XBC-95594                             40
058                  BTG-65524                             66
059                  NMA-58554                             81
060                  YLW-92835                            103
061                  NHP-43928                            196
062                  HVX-35287                            101
063                  YBD-67688                             27
064                  TRM-27792                            137
065                  GBK-45859                             28
066                  TLT-23593                            174
067                  YLW-92835                            200
068                  HCY-32686                             19
069                  HVE-32966                             77
070                  TXF-47848                              4
071                  WBB-69295                            114
072                  HVE-32966                            185
073                  NVE-67597                            192
074                  YBD-67688                            138
075                  ZKV-31415                            135
076                  AAV-93236                            120
077                  NXD-76943                            186
078                  WBB-69295                            127
079                  ZXB-54692                              5
080                  JYL-79355                             34
081                  WBB-69295                            129
082                  ZXB-54692                             33
083                  BTG-65524                             72
084                  CQS-93978                            123
085                  KQA-89952                             14
086                  TRM-27792                             52
087                  BMN-57337                            180
088                  VJN-37687                             59
089                  GMS-89977                             39
090                  HKZ-33728                            106
091                  TXF-47848                            105
092                  HCY-32686                            144
093                  HVX-35287                            188
094                  XKG-42573                            166
095                  HZF-45469                            182
096                  KQA-89952                             79
097                  JYL-79355                            167
098                  SPN-64546                             18
099                  HVE-32966                            126
100                  LWR-78574                             76
