User ID: 75471-28954

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNL-93857                            151
002                  FYK-67999                            188
003                  PHE-99329                             33
004                  TXF-47848                             28
005                  NXD-76943                             19
006                  WMD-65834                             94
007                  LWR-78574                             51
008                  TNA-63396                            171
009                  GZN-34688                            161
010                  BTN-83953                            167
011                  GZN-34688                            125
012                  YMA-56284                             99
013                  BMN-57337                            122
014                  RLT-57887                             88
015                  ZXB-54692                            199
016                  WMD-65834                             73
017                  VWM-74278                            141
018                  HZF-45469                             37
019                  ANR-65636                            165
020                  BTG-65524                            140
021                  GZN-34688                             87
022                  ANR-65636                            136
023                  NXD-76943                            146
024                  QBD-79865                            190
025                  NXD-76943                            100
026                  AAV-93236                            113
027                  TNX-51117                            177
028                  YBD-67688                            169
029                  LWR-78574                              8
030                  EPX-87469                            173
031                  LNC-68448                            168
032                  YXL-38878                             36
033                  AAV-93236                             44
034                  KWH-94256                             27
035                  XJQ-35789                             71
036                  JYL-79355                            118
037                  LNC-68448                             18
038                  YMA-56284                             90
039                  PQJ-67335                            145
040                  HVE-32966                            156
041                  CQS-93978                             34
042                  ANR-65636                            166
043                  DHY-22445                             95
044                  HVX-35287                            180
045                  YXL-38878                            131
046                  XRT-73276                            130
047                  TQC-49936                            162
048                  TLT-23593                             60
049                  JVL-65247                             57
050                  PZV-75529                              3
051                  TLT-23593                             80
052                  TRM-27792                            191
053                  ANR-65636                            176
054                  PZV-75529                            185
055                  BTN-83953                            124
056                  ZXB-54692                            101
057                  ZHA-83572                            147
058                  YXL-38878                            159
059                  PZV-75529                             81
060                  VWM-74278                            111
061                  AAV-93236                             38
062                  WQB-83823                            126
063                  HNB-76282                            157
064                  PZV-75529                             98
065                  FTD-84699                             47
066                  AAV-93236                             50
067                  HCY-32686                             84
068                  FYK-67999                            149
069                  HKZ-33728                             30
070                  XJQ-35789                            189
071                  GMS-89977                            103
072                  YXL-38878                            135
073                  BMN-57337                             25
074                  NXD-76943                             14
075                  HVX-35287                            183
076                  JPJ-26459                             31
077                  HVE-32966                              6
078                  NWL-28282                            127
079                  KWH-94256                             24
080                  BCU-27839                             97
081                  VJN-37687                            139
082                  BTG-65524                             65
083                  GMS-89977                             52
084                  GUJ-74444                             63
085                  EFG-46945                              2
086                  TNX-51117                            181
087                  VWM-74278                            105
088                  CQS-93978                            154
089                  XBC-95594                            184
090                  GUJ-74444                             55
091                  PZV-75529                             67
092                  NMA-58554                            128
093                  DAU-26394                            187
094                  KWH-94256                             77
095                  CQS-93978                             92
096                  XBC-95594                             74
097                  CPU-63784                            194
098                  GUJ-74444                              4
099                  RLT-57887                            133
100                  HVX-35287                             96
