User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                             90
002                  LNC-68448                            131
003                  KWH-94256                             63
004                  WMD-65834                            117
005                  TXF-47848                             34
006                  JYL-79355                             65
007                  EPX-87469                             82
008                  URL-32968                             54
009                  GBK-45859                             40
010                  FNL-93857                            167
011                  ZKV-31415                            164
012                  EFG-46945                            142
013                  WBB-69295                             60
014                  HVX-35287                             81
015                  PQJ-67335                            134
016                  HNB-76282                            155
017                  WMD-65834                             52
018                  XRT-73276                            119
019                  RLT-57887                             21
020                  GUJ-74444                            138
021                  NXD-76943                              7
022                  TXF-47848                            182
023                  FTD-84699                            151
024                  LZL-53762                             27
025                  RGZ-73449                             20
026                  ZXB-54692                             64
027                  EFG-46945                            154
028                  SZA-87265                              1
029                  DAU-26394                             12
030                  NXD-76943                             16
031                  LWR-78574                            105
032                  GZN-34688                            127
033                  XKG-42573                              3
034                  WMD-65834                             30
035                  TNX-51117                            165
036                  RGZ-73449                             80
037                  LNC-68448                            135
038                  XKG-42573                            157
039                  URL-32968                             77
040                  ZXB-54692                             10
041                  PNF-53949                            175
042                  ZKV-31415                            173
043                  TRM-27792                            171
044                  GUJ-74444                             85
045                  CPU-63784                            145
046                  NMA-58554                             35
047                  PHE-99329                            153
048                  TLT-23593                             26
049                  ZHA-83572                            169
050                  GZN-34688                            124
051                  WQB-83823                             78
052                  BTG-65524                             39
053                  TNX-51117                             93
054                  CDC-36833                            191
055                  NXD-76943                             44
056                  YBD-67688                            190
057                  RGZ-73449                             38
058                  NWL-28282                            197
059                  PQJ-67335                             84
060                  NXD-76943                            118
061                  ANR-65636                            112
062                  PHE-99329                             37
063                  GZN-34688                             36
064                  PQJ-67335                            126
065                  KMP-52243                            158
066                  HKZ-33728                            177
067                  VWM-74278                             70
068                  GUJ-74444                             57
069                  TNA-63396                            148
070                  EPX-87469                            109
071                  GUJ-74444                             18
072                  ZKV-31415                            166
073                  URL-32968                              6
074                  KQA-89952                             41
075                  BMN-57337                             88
076                  HNB-76282                            114
077                  BMN-57337                            132
078                  XJQ-35789                             43
079                  AAV-93236                            193
080                  QBZ-39849                            187
081                  VJN-37687                             42
082                  TNX-51117                             96
083                  NXD-76943                            107
084                  PWT-38779                            101
085                  ZPF-96697                             66
086                  NHP-43928                            103
087                  TNA-63396                             32
088                  AJA-56777                            111
089                  PQJ-67335                             73
090                  GUJ-74444                             11
091                  VWM-74278                            168
092                  WMD-65834                            116
093                  GBK-45859                            195
094                  KDV-97563                             97
095                  LZL-53762                            143
096                  XJQ-35789                             45
097                  KLA-57296                            141
098                  VXR-68924                            172
099                  XBC-95594                             49
100                  NMA-58554                             83
