User ID: 84209-46116

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBD-79865                            187
002                  RLT-57887                            126
003                  PNF-53949                             98
004                  YLW-92835                             43
005                  XKG-42573                            173
006                  DAU-26394                            113
007                  LWR-78574                            116
008                  PQJ-67335                            170
009                  LNC-68448                            117
010                  HZF-45469                             72
011                  GBK-45859                            157
012                  RLT-57887                             91
013                  QBD-79865                             46
014                  NVE-67597                             80
015                  RGZ-73449                             57
016                  XBC-95594                             61
017                  CPU-63784                            145
018                  VXR-68924                             58
019                  GZN-34688                            111
020                  BCU-27839                             37
021                  LZL-53762                             51
022                  WQB-83823                            121
023                  QBZ-39849                             50
024                  URL-32968                             63
025                  WQB-83823                            105
026                  GZN-34688                            107
027                  PNF-53949                            112
028                  TLT-23593                             18
029                  ZPF-96697                            134
030                  KLA-57296                             90
031                  QBD-79865                             11
032                  BMN-57337                            114
033                  YBD-67688                             87
034                  ZKV-31415                            183
035                  NMA-58554                             78
036                  QBD-79865                             36
037                  XRT-73276                            186
038                  AJA-56777                            172
039                  DHY-22445                            181
040                  SZA-87265                             26
041                  DHY-22445                             81
042                  FNL-93857                              3
043                  PNF-53949                            110
044                  XJQ-35789                             68
045                  PQJ-67335                            102
046                  YXL-38878                             73
047                  HNB-76282                            124
048                  HZF-45469                            140
049                  WQB-83823                            192
050                  CCG-95482                             53
051                  LWR-78574                            133
052                  BCU-27839                             20
053                  TXF-47848                            199
054                  PWT-38779                            161
055                  HNB-76282                            165
056                  YXL-38878                            128
057                  JVL-65247                             95
058                  VXR-68924                             79
059                  CPU-63784                            152
060                  NXD-76943                             85
061                  BTN-83953                             42
062                  HZF-45469                              6
063                  QBD-79865                             49
064                  XKG-42573                             48
065                  WBB-69295                            158
066                  GBK-45859                            150
067                  ZKV-31415                             64
068                  NXD-76943                            182
069                  TNA-63396                             21
070                  KQA-89952                            103
071                  WMD-65834                             31
072                  WMD-65834                            127
073                  GMS-89977                             52
074                  QBZ-39849                            122
075                  FNL-93857                             82
076                  NHP-43928                            178
077                  ANR-65636                             25
078                  JVL-65247                            191
079                  DAU-26394                             76
080                  VWM-74278                            120
081                  PZV-75529                            151
082                  QBD-79865                             16
083                  SZA-87265                             56
084                  ZHA-83572                            188
085                  AJA-56777                             38
086                  LNC-68448                            163
087                  YXL-38878                             59
088                  NWL-28282                            179
089                  NWL-28282                            149
090                  HNB-76282                            174
091                  TQC-49936                              5
092                  NMA-58554                            100
093                  HVX-35287                             22
094                  SPN-64546                            135
095                  URL-32968                             24
096                  GZN-34688                             92
097                  FNR-28782                            144
098                  CCG-95482                            119
099                  NMA-58554                            195
100                  FYK-67999                             29
