User ID: 02583-95216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HNB-76282                              2
002                  KWH-94256                            158
003                  XRT-73276                            179
004                  KMP-52243                            152
005                  QBD-79865                             79
006                  LZL-53762                             75
007                  TXF-47848                             16
008                  KDV-97563                             26
009                  PHE-99329                            192
010                  HVX-35287                             76
011                  ZXB-54692                             92
012                  ZXB-54692                            136
013                  NMA-58554                            182
014                  DAU-26394                            128
015                  EPX-87469                            141
016                  HVX-35287                            121
017                  TNG-52497                            115
018                  DAU-26394                              9
019                  HCY-32686                             53
020                  KQA-89952                             54
021                  WMD-65834                             39
022                  TXF-47848                            155
023                  PNF-53949                             86
024                  ANR-65636                            159
025                  ZHA-83572                            167
026                  VWM-74278                             65
027                  XBC-95594                            198
028                  YMA-56284                             58
029                  XRT-73276                             61
030                  YXL-38878                             74
031                  PZV-75529                             51
032                  GZN-34688                             30
033                  DAU-26394                             88
034                  BMN-57337                             77
035                  LZL-53762                             90
036                  NXD-76943                             40
037                  ZPF-96697                             52
038                  BCU-27839                            156
039                  AAV-93236                             23
040                  AJA-56777                             34
041                  FNR-28782                            127
042                  URL-32968                              4
043                  CCG-95482                            114
044                  GZN-34688                            154
045                  QBZ-39849                            120
046                  VWM-74278                             73
047                  KMP-52243                            138
048                  RGZ-73449                             72
049                  GUJ-74444                            137
050                  AJA-56777                              5
051                  BMN-57337                            142
052                  QBD-79865                             89
053                  FYK-67999                            185
054                  FNL-93857                            194
055                  VWM-74278                            162
056                  GZN-34688                            149
057                  VWM-74278                            181
058                  DAU-26394                             71
059                  HVX-35287                             14
060                  WMD-65834                            153
061                  AAV-93236                            108
062                  EFG-46945                            164
063                  CDC-36833                             45
064                  TQC-49936                            195
065                  JPJ-26459                             36
066                  DHY-22445                            178
067                  DAU-26394                            134
068                  KMP-52243                            133
069                  QBZ-39849                            104
070                  AJA-56777                            200
071                  YMA-56284                             63
072                  LZL-53762                            144
073                  SPN-64546                             62
074                  KWH-94256                             99
075                  ZPF-96697                             41
076                  XRT-73276                            172
077                  LNC-68448                            186
078                  KQA-89952                            165
079                  BTG-65524                            173
080                  ZKV-31415                            175
081                  XKG-42573                            160
082                  LWR-78574                            168
083                  JYL-79355                            193
084                  TXF-47848                            111
085                  HVE-32966                             55
086                  AAV-93236                            199
087                  DAU-26394                             98
088                  CQS-93978                            176
089                  BTG-65524                             20
090                  NVE-67597                            171
091                  WBB-69295                             11
092                  BMN-57337                             37
093                  AAV-93236                             31
094                  DHY-22445                            184
095                  VJN-37687                             44
096                  GBK-45859                             17
097                  QBD-79865                             94
098                  KLA-57296                            123
099                  NXD-76943                            132
100                  NXD-76943                            163
