User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EFG-46945                            154
002                  LZL-53762                             60
003                  FYK-67999                             52
004                  WQM-46249                            150
005                  BTN-83953                            169
006                  XRT-73276                            176
007                  HVE-32966                            144
008                  GZN-34688                            172
009                  PZV-75529                            128
010                  PWT-38779                            114
011                  NWL-28282                            170
012                  LZL-53762                             83
013                  VXR-68924                            162
014                  GUJ-74444                             94
015                  BTN-83953                             22
016                  TLT-23593                            185
017                  CPU-63784                             55
018                  JPJ-26459                            115
019                  PQJ-67335                             73
020                  VWM-74278                             78
021                  KDV-97563                             95
022                  XRT-73276                             41
023                  FNL-93857                            194
024                  GUJ-74444                            166
025                  FNL-93857                            177
026                  JYL-79355                             96
027                  KDV-97563                             91
028                  BCU-27839                             67
029                  TNA-63396                            173
030                  FYK-67999                            102
031                  EFG-46945                            137
032                  ZKV-31415                             46
033                  PNF-53949                             84
034                  VXR-68924                             13
035                  HCY-32686                             40
036                  QBD-79865                             63
037                  NMA-58554                             43
038                  PQJ-67335                             70
039                  RGZ-73449                              6
040                  FNR-28782                            136
041                  BTN-83953                            167
042                  LNC-68448                             81
043                  QBD-79865                             86
044                  FNL-93857                             39
045                  RGZ-73449                             42
046                  QBZ-39849                             53
047                  HZF-45469                            186
048                  JYL-79355                             88
049                  VWM-74278                             12
050                  ZXB-54692                             62
051                  HZF-45469                             44
052                  FTD-84699                             82
053                  ZXB-54692                            130
054                  TXF-47848                            110
055                  HVX-35287                             85
056                  TLT-23593                            179
057                  QBZ-39849                             69
058                  NMA-58554                            192
059                  HZF-45469                            107
060                  CPU-63784                            161
061                  WQM-46249                            118
062                  FYK-67999                             90
063                  XKG-42573                             25
064                  GUJ-74444                            163
065                  NWL-28282                            151
066                  CQS-93978                             99
067                  TLT-23593                             49
068                  CQS-93978                             51
069                  JPJ-26459                            152
070                  JYL-79355                              1
071                  BCU-27839                            181
072                  ZXB-54692                             93
073                  KLA-57296                              3
074                  CQS-93978                             29
075                  GUJ-74444                             56
076                  TNX-51117                             21
077                  ZPF-96697                            196
078                  ANR-65636                             38
079                  NHP-43928                             50
080                  BTG-65524                            140
081                  PWT-38779                             27
082                  TNA-63396                             20
083                  KQA-89952                             54
084                  YBD-67688                            180
085                  BTG-65524                            149
086                  TQC-49936                             98
087                  JPJ-26459                            104
088                  JPJ-26459                            135
089                  WQM-46249                            199
090                  ZXB-54692                            171
091                  NWL-28282                             16
092                  ZXB-54692                             31
093                  GZN-34688                             61
094                  GZN-34688                             89
095                  VWM-74278                            124
096                  TNA-63396                            145
097                  RLT-57887                             74
098                  AJA-56777                            195
099                  FTD-84699                            106
100                  XRT-73276                             34
