User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                            171
002                  BCU-27839                            151
003                  BTN-83953                             14
004                  PNF-53949                             25
005                  RGZ-73449                            163
006                  KWH-94256                            186
007                  CDC-36833                            170
008                  YXL-38878                            177
009                  PQJ-67335                            124
010                  NMA-58554                            145
011                  HVX-35287                             48
012                  RLT-57887                            197
013                  YMA-56284                             94
014                  TXF-47848                            132
015                  URL-32968                             64
016                  HZF-45469                              7
017                  BCU-27839                            109
018                  JYL-79355                             58
019                  DAU-26394                             73
020                  VJN-37687                            142
021                  HKZ-33728                             88
022                  ZHA-83572                            194
023                  TXF-47848                             69
024                  RGZ-73449                            133
025                  PNF-53949                            180
026                  LNC-68448                             40
027                  LZL-53762                             74
028                  JYL-79355                            181
029                  FNL-93857                            192
030                  KWH-94256                            131
031                  BMN-57337                            157
032                  TNG-52497                            165
033                  FTD-84699                             91
034                  CPU-63784                             21
035                  GUJ-74444                             72
036                  LNC-68448                            169
037                  KWH-94256                            137
038                  EPX-87469                            116
039                  PQJ-67335                            168
040                  EFG-46945                            193
041                  KWH-94256                            176
042                  SZA-87265                             12
043                  GBK-45859                             32
044                  DAU-26394                             27
045                  ANR-65636                             89
046                  ANR-65636                            127
047                  LNC-68448                            164
048                  BMN-57337                             77
049                  YLW-92835                            111
050                  SZA-87265                             59
051                  DAU-26394                            143
052                  ZHA-83572                            107
053                  KWH-94256                            103
054                  TQC-49936                             41
055                  KWH-94256                            185
056                  BCU-27839                            119
057                  GMS-89977                             10
058                  KMP-52243                            130
059                  KDV-97563                            113
060                  TNX-51117                            159
061                  KQA-89952                             37
062                  TNG-52497                            178
063                  WQM-46249                             51
064                  KQA-89952                            122
065                  QBZ-39849                             19
066                  WQM-46249                             28
067                  XJQ-35789                             35
068                  YBD-67688                             47
069                  TQC-49936                             46
070                  XRT-73276                            147
071                  ZKV-31415                              8
072                  JPJ-26459                             81
073                  RGZ-73449                             92
074                  TNG-52497                            150
075                  YXL-38878                             68
076                  JVL-65247                             82
077                  RGZ-73449                             78
078                  EPX-87469                            154
079                  LNC-68448                            110
080                  LWR-78574                              2
081                  JYL-79355                            128
082                  XBC-95594                             70
083                  PHE-99329                            153
084                  KDV-97563                             43
085                  KWH-94256                             55
086                  NWL-28282                             60
087                  NWL-28282                             34
088                  DAU-26394                             30
089                  TQC-49936                            134
090                  PWT-38779                             71
091                  JPJ-26459                             11
092                  LZL-53762                            139
093                  NWL-28282                            106
094                  RGZ-73449                              9
095                  XJQ-35789                             50
096                  RGZ-73449                             42
097                  HNB-76282                            105
098                  DHY-22445                             38
099                  CDC-36833                            155
100                  QBZ-39849                            148
