User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CQS-93978                             50
002                  HVX-35287                             39
003                  CCG-95482                            184
004                  NWL-28282                             76
005                  PZV-75529                             46
006                  WBB-69295                             26
007                  YMA-56284                            155
008                  VWM-74278                            181
009                  SPN-64546                             28
010                  HVX-35287                              5
011                  EPX-87469                            123
012                  PQJ-67335                            186
013                  AAV-93236                            152
014                  CQS-93978                             81
015                  NHP-43928                             40
016                  WQB-83823                             70
017                  FNR-28782                            189
018                  YXL-38878                            136
019                  EFG-46945                            135
020                  CDC-36833                            153
021                  XJQ-35789                             60
022                  DHY-22445                            169
023                  LWR-78574                             89
024                  CDC-36833                             83
025                  URL-32968                             49
026                  NXD-76943                             54
027                  SZA-87265                             11
028                  DAU-26394                             33
029                  EFG-46945                             84
030                  ZXB-54692                             68
031                  GUJ-74444                            157
032                  JVL-65247                            172
033                  PQJ-67335                              2
034                  NWL-28282                             78
035                  BCU-27839                            143
036                  TLT-23593                            144
037                  FNL-93857                            178
038                  PNF-53949                            199
039                  HCY-32686                            118
040                  XRT-73276                             38
041                  WBB-69295                            187
042                  KQA-89952                            177
043                  PHE-99329                             93
044                  BTG-65524                            102
045                  TRM-27792                             59
046                  EFG-46945                            101
047                  WQM-46249                             80
048                  WQB-83823                             65
049                  NVE-67597                            154
050                  HNB-76282                             95
051                  JYL-79355                            110
052                  ZKV-31415                            161
053                  GBK-45859                             34
054                  WBB-69295                             37
055                  WQB-83823                            139
056                  EFG-46945                            182
057                  NWL-28282                            105
058                  SPN-64546                            148
059                  BMN-57337                            125
060                  RLT-57887                            188
061                  ZHA-83572                             64
062                  ZXB-54692                            138
063                  RGZ-73449                             48
064                  RLT-57887                             30
065                  CQS-93978                              8
066                  GMS-89977                            145
067                  TRM-27792                            168
068                  TRM-27792                             18
069                  FYK-67999                             44
070                  KDV-97563                             45
071                  GUJ-74444                             91
072                  PHE-99329                             32
073                  DAU-26394                            151
074                  XKG-42573                             35
075                  HZF-45469                             69
076                  PZV-75529                             74
077                  XKG-42573                            111
078                  SZA-87265                             63
079                  NWL-28282                            190
080                  TNG-52497                            171
081                  AAV-93236                             51
082                  DAU-26394                            122
083                  NVE-67597                            121
084                  NMA-58554                             52
085                  PQJ-67335                             92
086                  DAU-26394                             62
087                  LNC-68448                            156
088                  ZKV-31415                            124
089                  QBZ-39849                            160
090                  TNA-63396                            196
091                  SPN-64546                             47
092                  GZN-34688                             79
093                  BCU-27839                             43
094                  YMA-56284                             72
095                  KMP-52243                            192
096                  KLA-57296                             66
097                  BCU-27839                            150
098                  YLW-92835                             67
099                  GUJ-74444                             25
100                  WMD-65834                             71
