User ID: 93168-04662

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AJA-56777                             73
002                  CCG-95482                             24
003                  HVX-35287                            159
004                  BMN-57337                             69
005                  ZHA-83572                             91
006                  HVX-35287                              7
007                  PNF-53949                            102
008                  CCG-95482                            137
009                  XRT-73276                            133
010                  LWR-78574                            144
011                  PWT-38779                            163
012                  HZF-45469                            121
013                  PZV-75529                             32
014                  LWR-78574                            162
015                  WQM-46249                             54
016                  PNF-53949                            164
017                  FNL-93857                            193
018                  TLT-23593                             63
019                  XJQ-35789                             62
020                  WMD-65834                             51
021                  FNL-93857                             37
022                  FNL-93857                            169
023                  WQM-46249                             78
024                  GBK-45859                            122
025                  WMD-65834                             23
026                  QBD-79865                            191
027                  XKG-42573                            153
028                  PHE-99329                            135
029                  XRT-73276                            200
030                  YLW-92835                            198
031                  JPJ-26459                             76
032                  DHY-22445                             13
033                  DAU-26394                             27
034                  HVX-35287                            104
035                  HKZ-33728                            185
036                  NHP-43928                            197
037                  HCY-32686                             90
038                  EFG-46945                            178
039                  TQC-49936                             59
040                  VXR-68924                            125
041                  WMD-65834                             26
042                  TNA-63396                            199
043                  SPN-64546                             66
044                  YLW-92835                             65
045                  TNX-51117                            100
046                  PZV-75529                            184
047                  LZL-53762                            139
048                  YLW-92835                            141
049                  PNF-53949                             12
050                  HNB-76282                            168
051                  DAU-26394                            183
052                  TRM-27792                            156
053                  LZL-53762                            127
054                  TRM-27792                            173
055                  BMN-57337                            130
056                  TNX-51117                            143
057                  QBD-79865                             61
058                  KWH-94256                             38
059                  TNA-63396                            194
060                  FNR-28782                             98
061                  RLT-57887                             20
062                  TNA-63396                             95
063                  BTN-83953                             25
064                  YBD-67688                            170
065                  WQB-83823                            107
066                  EFG-46945                            112
067                  YXL-38878                              5
068                  TRM-27792                             19
069                  TQC-49936                             40
070                  CDC-36833                             28
071                  YMA-56284                             96
072                  VXR-68924                             33
073                  XRT-73276                            134
074                  DHY-22445                            174
075                  RGZ-73449                            105
076                  SPN-64546                              1
077                  BMN-57337                             75
078                  VJN-37687                             48
079                  TXF-47848                            160
080                  ANR-65636                             64
081                  BCU-27839                            138
082                  KDV-97563                             11
083                  EFG-46945                            106
084                  EFG-46945                            126
085                  CDC-36833                            171
086                  HNB-76282                             85
087                  WBB-69295                            111
088                  LWR-78574                             14
089                  FNL-93857                             39
090                  VXR-68924                            165
091                  HZF-45469                            149
092                  WMD-65834                             74
093                  PQJ-67335                             99
094                  YMA-56284                             67
095                  GMS-89977                             50
096                  LNC-68448                            187
097                  SZA-87265                            188
098                  BTN-83953                            132
099                  XRT-73276                            172
100                  VWM-74278                             82
