User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                             85
002                  BTG-65524                            163
003                  ZXB-54692                             87
004                  XKG-42573                             82
005                  PQJ-67335                            105
006                  PWT-38779                            115
007                  KDV-97563                            159
008                  EFG-46945                            112
009                  TQC-49936                              1
010                  TNG-52497                             40
011                  HNB-76282                             18
012                  RGZ-73449                            200
013                  BTN-83953                             43
014                  JPJ-26459                             94
015                  JYL-79355                              9
016                  VJN-37687                             23
017                  HZF-45469                            121
018                  YLW-92835                             36
019                  URL-32968                              3
020                  XRT-73276                             90
021                  GZN-34688                            153
022                  TLT-23593                            174
023                  TNX-51117                             68
024                  SPN-64546                            114
025                  GBK-45859                             72
026                  TLT-23593                            147
027                  QBZ-39849                            132
028                  NVE-67597                            108
029                  PWT-38779                             86
030                  TRM-27792                             88
031                  LWR-78574                             65
032                  YBD-67688                            101
033                  ZHA-83572                              4
034                  TNX-51117                            138
035                  WMD-65834                             97
036                  VJN-37687                            137
037                  CQS-93978                            126
038                  CPU-63784                             81
039                  HVX-35287                            162
040                  PNF-53949                             45
041                  KLA-57296                             95
042                  TNG-52497                            156
043                  JPJ-26459                            195
044                  YBD-67688                            193
045                  PHE-99329                             47
046                  HVE-32966                              6
047                  ZPF-96697                             55
048                  XRT-73276                            111
049                  XJQ-35789                             52
050                  XBC-95594                            197
051                  ANR-65636                             98
052                  GMS-89977                             27
053                  PWT-38779                            177
054                  XBC-95594                            118
055                  YBD-67688                            180
056                  WMD-65834                             32
057                  CDC-36833                            181
058                  PNF-53949                             63
059                  TXF-47848                             70
060                  RGZ-73449                             84
061                  TXF-47848                              2
062                  HCY-32686                            143
063                  KLA-57296                            127
064                  RGZ-73449                            164
065                  URL-32968                            192
066                  GZN-34688                             89
067                  FTD-84699                            107
068                  ZHA-83572                            125
069                  URL-32968                            169
070                  TLT-23593                            183
071                  WBB-69295                             35
072                  JVL-65247                            157
073                  SPN-64546                            142
074                  NHP-43928                            198
075                  NWL-28282                            119
076                  PQJ-67335                             44
077                  CQS-93978                             60
078                  CPU-63784                             50
079                  QBZ-39849                             15
080                  QBZ-39849                             80
081                  PQJ-67335                             20
082                  TQC-49936                              5
083                  VWM-74278                             31
084                  GZN-34688                             10
085                  EFG-46945                             13
086                  ZXB-54692                            168
087                  JVL-65247                            133
088                  ZHA-83572                            152
089                  KMP-52243                            178
090                  QBZ-39849                            106
091                  TQC-49936                            109
092                  FNR-28782                             38
093                  YXL-38878                             14
094                  URL-32968                            160
095                  VWM-74278                             54
096                  LNC-68448                            185
097                  TLT-23593                             30
098                  JYL-79355                             71
099                  VWM-74278                             19
100                  LNC-68448                            165
