User ID: 05481-39385

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQB-83823                            185
002                  WQM-46249                            104
003                  WQM-46249                            186
004                  FNR-28782                             79
005                  HVE-32966                             67
006                  KQA-89952                             87
007                  GUJ-74444                              9
008                  RGZ-73449                             55
009                  EFG-46945                              5
010                  NMA-58554                            132
011                  WQM-46249                            176
012                  WQB-83823                             28
013                  LWR-78574                             70
014                  HNB-76282                            166
015                  AJA-56777                            194
016                  PWT-38779                             33
017                  PZV-75529                             40
018                  PZV-75529                             12
019                  DHY-22445                            141
020                  TNA-63396                             53
021                  QBZ-39849                            152
022                  VXR-68924                            102
023                  BTG-65524                             42
024                  WMD-65834                             98
025                  GUJ-74444                            163
026                  SZA-87265                             93
027                  ZHA-83572                             38
028                  URL-32968                            125
029                  AAV-93236                             66
030                  PQJ-67335                             59
031                  KMP-52243                             68
032                  YLW-92835                             74
033                  HKZ-33728                             16
034                  TLT-23593                            142
035                  EPX-87469                             69
036                  QBZ-39849                            112
037                  CQS-93978                            200
038                  NWL-28282                             88
039                  VJN-37687                            106
040                  YLW-92835                            134
041                  TQC-49936                             24
042                  KLA-57296                            110
043                  VXR-68924                             41
044                  CPU-63784                            156
045                  CQS-93978                            168
046                  NMA-58554                              1
047                  ZXB-54692                             49
048                  QBZ-39849                              3
049                  VXR-68924                             50
050                  KMP-52243                             20
051                  PWT-38779                            138
052                  KQA-89952                             23
053                  HVE-32966                            172
054                  WMD-65834                            153
055                  RLT-57887                            155
056                  TNX-51117                            145
057                  VWM-74278                            129
058                  SZA-87265                             19
059                  VJN-37687                            151
060                  SPN-64546                             85
061                  HCY-32686                            190
062                  CDC-36833                            149
063                  HCY-32686                            183
064                  GUJ-74444                            195
065                  ZXB-54692                             75
066                  GUJ-74444                            146
067                  NXD-76943                            182
068                  AJA-56777                             73
069                  GZN-34688                             97
070                  TQC-49936                             60
071                  TRM-27792                            114
072                  PNF-53949                             89
073                  FNL-93857                            101
074                  SZA-87265                             22
075                  GZN-34688                             21
076                  BTN-83953                            107
077                  KMP-52243                             94
078                  YLW-92835                             54
079                  VWM-74278                             82
080                  QBD-79865                             63
081                  XBC-95594                             46
082                  SPN-64546                            173
083                  CQS-93978                            121
084                  CPU-63784                            197
085                  AAV-93236                              7
086                  KLA-57296                             62
087                  CPU-63784                             58
088                  ZXB-54692                             71
089                  YLW-92835                            164
090                  NMA-58554                             39
091                  JVL-65247                             45
092                  PHE-99329                            109
093                  EPX-87469                            184
094                  KDV-97563                            140
095                  TLT-23593                            154
096                  KWH-94256                            170
097                  WBB-69295                            100
098                  DHY-22445                            144
099                  ZKV-31415                            162
100                  VWM-74278                            159
