User ID: 52357-54349

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                             43
002                  KDV-97563                             44
003                  NXD-76943                            190
004                  KWH-94256                             45
005                  GBK-45859                            148
006                  PNF-53949                            151
007                  FNR-28782                            145
008                  NHP-43928                            155
009                  YMA-56284                            158
010                  LNC-68448                            111
011                  RLT-57887                             14
012                  ZKV-31415                            184
013                  CCG-95482                            185
014                  KMP-52243                            137
015                  HZF-45469                            126
016                  CDC-36833                             19
017                  VWM-74278                              3
018                  NMA-58554                             15
019                  XRT-73276                            178
020                  PNF-53949                             69
021                  DHY-22445                            118
022                  FYK-67999                             73
023                  KDV-97563                             50
024                  NMA-58554                            199
025                  KLA-57296                            193
026                  YMA-56284                             70
027                  XJQ-35789                             79
028                  YLW-92835                             31
029                  ZXB-54692                             94
030                  XBC-95594                             39
031                  FNR-28782                             78
032                  TNX-51117                             75
033                  LZL-53762                            167
034                  PHE-99329                            139
035                  NMA-58554                             25
036                  GUJ-74444                             36
037                  LWR-78574                             46
038                  NVE-67597                             42
039                  TNA-63396                            109
040                  BTN-83953                            192
041                  CCG-95482                            106
042                  ZXB-54692                            129
043                  QBZ-39849                             17
044                  XKG-42573                            177
045                  TNX-51117                             30
046                  VWM-74278                            107
047                  YMA-56284                            119
048                  HNB-76282                            176
049                  KWH-94256                            156
050                  RLT-57887                            157
051                  KDV-97563                              5
052                  SPN-64546                            143
053                  ZPF-96697                             34
054                  QBD-79865                             11
055                  FYK-67999                             32
056                  HNB-76282                             38
057                  NWL-28282                             62
058                  FYK-67999                            149
059                  PZV-75529                            128
060                  SZA-87265                            165
061                  LZL-53762                             81
062                  TNG-52497                             98
063                  LZL-53762                             33
064                  TRM-27792                             51
065                  TRM-27792                             37
066                  CQS-93978                             64
067                  KDV-97563                             97
068                  FTD-84699                             65
069                  HVX-35287                            191
070                  PQJ-67335                            154
071                  XKG-42573                             56
072                  JPJ-26459                             59
073                  HVX-35287                             93
074                  EPX-87469                            196
075                  LNC-68448                            160
076                  TNA-63396                            188
077                  PWT-38779                             83
078                  GZN-34688                            105
079                  QBZ-39849                            121
080                  HCY-32686                            159
081                  FTD-84699                            122
082                  QBD-79865                             57
083                  TNG-52497                            132
084                  JPJ-26459                            170
085                  SPN-64546                            101
086                  PNF-53949                              8
087                  TNX-51117                              1
088                  LWR-78574                             21
089                  RLT-57887                            141
090                  SPN-64546                            161
091                  SPN-64546                            117
092                  XBC-95594                             18
093                  FYK-67999                             54
094                  JYL-79355                             53
095                  GZN-34688                             90
096                  VXR-68924                            189
097                  XBC-95594                             66
098                  HVE-32966                            187
099                  HVE-32966                             95
100                  CPU-63784                            183
