User ID: 07922-19414

Trial                  Virus                             Units
---------------------------------------------------------------
001                  URL-32968                             75
002                  KDV-97563                             11
003                  GMS-89977                            197
004                  TRM-27792                             40
005                  EFG-46945                             62
006                  DAU-26394                            121
007                  KQA-89952                             34
008                  BTG-65524                             21
009                  LNC-68448                             90
010                  XJQ-35789                            147
011                  ZKV-31415                            100
012                  TNX-51117                            146
013                  BTG-65524                             22
014                  VWM-74278                             55
015                  EFG-46945                            162
016                  PQJ-67335                            104
017                  LZL-53762                             50
018                  YBD-67688                             44
019                  QBZ-39849                              8
020                  URL-32968                            184
021                  ZPF-96697                            139
022                  NXD-76943                            152
023                  YLW-92835                            156
024                  XBC-95594                             89
025                  ZXB-54692                             66
026                  FNR-28782                             64
027                  YMA-56284                            118
028                  TXF-47848                             82
029                  BTN-83953                             35
030                  XJQ-35789                             71
031                  AAV-93236                            164
032                  CQS-93978                             37
033                  HVX-35287                            101
034                  PNF-53949                            129
035                  XJQ-35789                             13
036                  NHP-43928                            114
037                  URL-32968                            175
038                  XKG-42573                            195
039                  YMA-56284                             81
040                  TLT-23593                             30
041                  RLT-57887                            122
042                  WQM-46249                             95
043                  CCG-95482                             86
044                  HZF-45469                            182
045                  XRT-73276                              9
046                  XBC-95594                              5
047                  QBZ-39849                            165
048                  XJQ-35789                             16
049                  NXD-76943                            187
050                  TRM-27792                            149
051                  CCG-95482                             24
052                  GUJ-74444                            151
053                  LZL-53762                             67
054                  ZHA-83572                            199
055                  URL-32968                            132
056                  FNR-28782                            145
057                  AJA-56777                            186
058                  WQM-46249                             97
059                  NHP-43928                            111
060                  YMA-56284                            160
061                  GZN-34688                             99
062                  YMA-56284                             69
063                  NHP-43928                             47
064                  WQM-46249                             88
065                  CQS-93978                            190
066                  EFG-46945                            140
067                  BTG-65524                            155
068                  EPX-87469                            191
069                  NXD-76943                             77
070                  VXR-68924                              1
071                  SPN-64546                            127
072                  EPX-87469                            109
073                  YXL-38878                            108
074                  CDC-36833                             60
075                  XKG-42573                             26
076                  CDC-36833                             52
077                  XBC-95594                            110
078                  WBB-69295                            103
079                  DAU-26394                            102
080                  NMA-58554                             63
081                  FNL-93857                            134
082                  GMS-89977                             57
083                  TXF-47848                            123
084                  GUJ-74444                            124
085                  JYL-79355                              2
086                  NMA-58554                             43
087                  ZHA-83572                            173
088                  KQA-89952                             80
089                  FNR-28782                             78
090                  TLT-23593                             49
091                  YMA-56284                             12
092                  BCU-27839                             79
093                  VWM-74278                            117
094                  BMN-57337                            181
095                  HVX-35287                             27
096                  BTG-65524                            192
097                  EPX-87469                            193
098                  URL-32968                             18
099                  VXR-68924                            126
100                  GUJ-74444                            183
