User ID: 73162-96886

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVX-35287                            130
002                  EFG-46945                            124
003                  PWT-38779                            160
004                  PNF-53949                            167
005                  SZA-87265                            139
006                  TNG-52497                            174
007                  WMD-65834                             13
008                  GBK-45859                              3
009                  NVE-67597                            150
010                  YLW-92835                            149
011                  ANR-65636                            117
012                  FNR-28782                             36
013                  TQC-49936                            132
014                  JYL-79355                             76
015                  RGZ-73449                             66
016                  CQS-93978                             49
017                  PNF-53949                             98
018                  ZXB-54692                             25
019                  BTG-65524                             61
020                  KLA-57296                            171
021                  KQA-89952                              4
022                  ZHA-83572                             30
023                  BMN-57337                            151
024                  NHP-43928                             92
025                  YBD-67688                            103
026                  EFG-46945                             40
027                  WQB-83823                             84
028                  CQS-93978                            196
029                  JYL-79355                             64
030                  TQC-49936                            136
031                  AAV-93236                            162
032                  VXR-68924                             37
033                  BCU-27839                             38
034                  GBK-45859                            106
035                  AAV-93236                            163
036                  TNA-63396                             93
037                  JYL-79355                             97
038                  LZL-53762                            105
039                  AJA-56777                             10
040                  HVE-32966                            135
041                  DHY-22445                            112
042                  NWL-28282                            164
043                  AAV-93236                             83
044                  URL-32968                             54
045                  VWM-74278                            182
046                  BTG-65524                             23
047                  BTG-65524                            194
048                  VWM-74278                            192
049                  KQA-89952                             16
050                  ZPF-96697                             34
051                  JPJ-26459                            199
052                  LNC-68448                             81
053                  GBK-45859                            189
054                  SPN-64546                            169
055                  KLA-57296                            155
056                  BMN-57337                            175
057                  EFG-46945                            161
058                  FYK-67999                            146
059                  JVL-65247                             73
060                  WBB-69295                            145
061                  JVL-65247                             94
062                  RGZ-73449                            166
063                  LWR-78574                             47
064                  TNA-63396                             17
065                  PQJ-67335                            178
066                  TNA-63396                            187
067                  BTN-83953                             68
068                  BTN-83953                             21
069                  YXL-38878                            100
070                  YXL-38878                             56
071                  DHY-22445                             62
072                  TNG-52497                            119
073                  FNL-93857                             27
074                  YLW-92835                             79
075                  WMD-65834                            126
076                  FNL-93857                            122
077                  XRT-73276                            156
078                  CCG-95482                             75
079                  ZHA-83572                            104
080                  PQJ-67335                            144
081                  YLW-92835                             86
082                  ZXB-54692                             24
083                  FYK-67999                             59
084                  BTG-65524                            116
085                  XRT-73276                             14
086                  VXR-68924                             12
087                  CDC-36833                            111
088                  WMD-65834                             51
089                  VXR-68924                             90
090                  SZA-87265                              1
091                  BMN-57337                            184
092                  WMD-65834                            118
093                  ZHA-83572                             26
094                  TNA-63396                            153
095                  GMS-89977                             74
096                  DHY-22445                             35
097                  PNF-53949                             60
098                  KLA-57296                            115
099                  GMS-89977                            190
100                  FTD-84699                             53
