User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PQJ-67335                             41
002                  BCU-27839                            166
003                  VWM-74278                            117
004                  QBZ-39849                            175
005                  HKZ-33728                            157
006                  PHE-99329                            165
007                  YMA-56284                             29
008                  WQB-83823                             60
009                  YMA-56284                             91
010                  FNR-28782                            163
011                  PZV-75529                             13
012                  KMP-52243                            178
013                  YLW-92835                            190
014                  ANR-65636                            109
015                  XRT-73276                             76
016                  PHE-99329                            168
017                  HVE-32966                            152
018                  ZPF-96697                             31
019                  DAU-26394                            151
020                  FNL-93857                            174
021                  CQS-93978                             74
022                  PQJ-67335                             50
023                  RLT-57887                            159
024                  SPN-64546                            179
025                  BTG-65524                            188
026                  FNL-93857                             70
027                  HKZ-33728                             21
028                  VXR-68924                             34
029                  ZKV-31415                              2
030                  XRT-73276                             43
031                  TNX-51117                            184
032                  KLA-57296                             42
033                  DHY-22445                            153
034                  ZKV-31415                            187
035                  BMN-57337                             65
036                  HNB-76282                             58
037                  QBZ-39849                             67
038                  WQB-83823                             86
039                  NXD-76943                              4
040                  XKG-42573                            144
041                  XJQ-35789                             28
042                  NXD-76943                            170
043                  FTD-84699                            112
044                  YXL-38878                             80
045                  JVL-65247                            110
046                  ANR-65636                            169
047                  EPX-87469                            113
048                  HCY-32686                            132
049                  XKG-42573                            122
050                  TNX-51117                             99
051                  GBK-45859                            128
052                  VWM-74278                            191
053                  PHE-99329                            119
054                  HVX-35287                             97
055                  RGZ-73449                             37
056                  TQC-49936                            103
057                  TXF-47848                            102
058                  QBD-79865                            118
059                  PZV-75529                            108
060                  ZKV-31415                             39
061                  XRT-73276                            127
062                  VWM-74278                            114
063                  YXL-38878                             55
064                  AJA-56777                            146
065                  GMS-89977                            200
066                  ZPF-96697                              5
067                  WMD-65834                            189
068                  AJA-56777                            156
069                  RLT-57887                            116
070                  TQC-49936                             72
071                  PWT-38779                             59
072                  HZF-45469                            130
073                  DAU-26394                            101
074                  GZN-34688                             27
075                  DAU-26394                            150
076                  NVE-67597                            198
077                  FTD-84699                            183
078                  NXD-76943                            121
079                  FNL-93857                            197
080                  FYK-67999                            104
081                  YBD-67688                            100
082                  YMA-56284                            131
083                  HZF-45469                            181
084                  XJQ-35789                              6
085                  HVE-32966                            136
086                  EFG-46945                             73
087                  CQS-93978                              3
088                  JVL-65247                            143
089                  VXR-68924                            192
090                  NWL-28282                             40
091                  QBD-79865                             20
092                  SZA-87265                            155
093                  XJQ-35789                             22
094                  FNR-28782                             24
095                  SPN-64546                             35
096                  PQJ-67335                             68
097                  NXD-76943                             92
098                  URL-32968                             98
099                  WQM-46249                             16
100                  GBK-45859                             25
