User ID: 99701-55213

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                            117
002                  DAU-26394                             23
003                  XRT-73276                            172
004                  CCG-95482                             68
005                  WQB-83823                            113
006                  RLT-57887                            183
007                  PQJ-67335                             12
008                  GMS-89977                             98
009                  ZXB-54692                            134
010                  XBC-95594                             86
011                  QBZ-39849                            140
012                  HNB-76282                             72
013                  WBB-69295                            200
014                  PQJ-67335                            190
015                  QBD-79865                            199
016                  JPJ-26459                             77
017                  FYK-67999                            109
018                  HNB-76282                            161
019                  TNX-51117                             64
020                  AAV-93236                             59
021                  WBB-69295                             36
022                  JVL-65247                             66
023                  JYL-79355                            144
024                  ANR-65636                            168
025                  WBB-69295                             70
026                  VJN-37687                             94
027                  ZPF-96697                            162
028                  RGZ-73449                              7
029                  EFG-46945                            124
030                  HNB-76282                             75
031                  BMN-57337                             45
032                  TNG-52497                             78
033                  PNF-53949                             87
034                  WQM-46249                             76
035                  KWH-94256                            194
036                  HVX-35287                             35
037                  GUJ-74444                            108
038                  GMS-89977                            119
039                  YBD-67688                            116
040                  ANR-65636                             30
041                  URL-32968                              2
042                  TXF-47848                            155
043                  PZV-75529                             88
044                  DAU-26394                             48
045                  GBK-45859                             97
046                  TQC-49936                            100
047                  EPX-87469                             46
048                  EPX-87469                             18
049                  SPN-64546                             58
050                  LNC-68448                            141
051                  DHY-22445                            132
052                  DHY-22445                            149
053                  QBD-79865                             95
054                  EFG-46945                              6
055                  JPJ-26459                            181
056                  FNL-93857                            131
057                  QBD-79865                             13
058                  FNR-28782                              9
059                  GUJ-74444                             15
060                  QBD-79865                             51
061                  XJQ-35789                             52
062                  BCU-27839                            125
063                  SPN-64546                            152
064                  EPX-87469                            189
065                  BTN-83953                             83
066                  BTN-83953                             25
067                  JYL-79355                             41
068                  GMS-89977                            166
069                  ZPF-96697                            150
070                  XRT-73276                            107
071                  XRT-73276                             85
072                  BCU-27839                            198
073                  ZXB-54692                             57
074                  FYK-67999                            192
075                  LZL-53762                             39
076                  EPX-87469                            111
077                  KWH-94256                            104
078                  ANR-65636                             63
079                  NVE-67597                            193
080                  TQC-49936                             92
081                  JYL-79355                            184
082                  TNX-51117                            106
083                  ZXB-54692                            165
084                  QBD-79865                            163
085                  SZA-87265                            171
086                  WQB-83823                            151
087                  QBD-79865                            114
088                  TNG-52497                             37
089                  ANR-65636                             14
090                  PNF-53949                             65
091                  XKG-42573                             27
092                  YBD-67688                            103
093                  AJA-56777                             29
094                  FNR-28782                            167
095                  ZKV-31415                            175
096                  QBZ-39849                             26
097                  NWL-28282                              5
098                  JPJ-26459                            118
099                  WBB-69295                            196
100                  SZA-87265                            148
