User ID: 10592-17540

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CDC-36833                             81
002                  TNA-63396                            106
003                  URL-32968                             11
004                  NHP-43928                            113
005                  KMP-52243                            163
006                  KQA-89952                             59
007                  KMP-52243                            161
008                  KQA-89952                            136
009                  ZKV-31415                            118
010                  ZXB-54692                            157
011                  PWT-38779                             94
012                  HZF-45469                            119
013                  NMA-58554                            190
014                  TRM-27792                            105
015                  XRT-73276                            188
016                  KQA-89952                            175
017                  DAU-26394                             89
018                  DAU-26394                             68
019                  KWH-94256                            166
020                  HZF-45469                             71
021                  VJN-37687                             82
022                  KWH-94256                            109
023                  NVE-67597                            171
024                  AAV-93236                             97
025                  KMP-52243                             70
026                  SPN-64546                            181
027                  PQJ-67335                            164
028                  EFG-46945                            143
029                  KLA-57296                              3
030                  URL-32968                             35
031                  URL-32968                            160
032                  ZHA-83572                             20
033                  VXR-68924                             44
034                  YXL-38878                             63
035                  ANR-65636                            145
036                  KWH-94256                            179
037                  TRM-27792                             36
038                  JYL-79355                            159
039                  ZKV-31415                             14
040                  CQS-93978                             91
041                  TNG-52497                             24
042                  YXL-38878                             51
043                  QBZ-39849                            148
044                  DHY-22445                            192
045                  HZF-45469                            152
046                  GZN-34688                             88
047                  TNA-63396                            122
048                  XJQ-35789                             75
049                  SPN-64546                             69
050                  HVX-35287                             87
051                  GZN-34688                            144
052                  CPU-63784                             85
053                  ZPF-96697                             25
054                  SZA-87265                             57
055                  BMN-57337                            140
056                  BCU-27839                            156
057                  FNL-93857                             60
058                  AJA-56777                            120
059                  DAU-26394                            184
060                  JPJ-26459                              8
061                  ZPF-96697                            199
062                  XKG-42573                             12
063                  URL-32968                             21
064                  HVX-35287                            158
065                  ZXB-54692                             90
066                  PHE-99329                             66
067                  ZKV-31415                            176
068                  XBC-95594                              6
069                  CPU-63784                             43
070                  KMP-52243                            200
071                  KMP-52243                            170
072                  WQM-46249                             74
073                  RGZ-73449                            146
074                  TXF-47848                            141
075                  WQB-83823                              5
076                  FTD-84699                            173
077                  FNL-93857                             98
078                  NHP-43928                             39
079                  XKG-42573                            115
080                  BTN-83953                            111
081                  JYL-79355                             92
082                  ZXB-54692                             78
083                  JVL-65247                             45
084                  DAU-26394                             86
085                  BMN-57337                             58
086                  HKZ-33728                             64
087                  DHY-22445                             73
088                  HZF-45469                             50
089                  AAV-93236                             30
090                  VJN-37687                            186
091                  GMS-89977                              2
092                  XRT-73276                             13
093                  PNF-53949                             16
094                  HNB-76282                            104
095                  AAV-93236                             46
096                  XKG-42573                            183
097                  ZKV-31415                            197
098                  KLA-57296                            177
099                  HZF-45469                             76
100                  ZHA-83572                            196
