User ID: 04025-42834

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBZ-39849                            200
002                  JPJ-26459                            109
003                  ZXB-54692                             73
004                  GUJ-74444                             45
005                  YBD-67688                            177
006                  FTD-84699                             70
007                  ZPF-96697                             10
008                  YXL-38878                              1
009                  FYK-67999                            104
010                  XKG-42573                            165
011                  HKZ-33728                             32
012                  ZXB-54692                             57
013                  LZL-53762                            183
014                  GBK-45859                             93
015                  ANR-65636                             68
016                  GZN-34688                            124
017                  LZL-53762                             34
018                  NWL-28282                             40
019                  WQB-83823                            170
020                  ANR-65636                              5
021                  BMN-57337                            163
022                  YXL-38878                            122
023                  NMA-58554                             49
024                  CCG-95482                            111
025                  HKZ-33728                            187
026                  HNB-76282                            188
027                  KLA-57296                             22
028                  GZN-34688                            159
029                  VJN-37687                             14
030                  KDV-97563                            118
031                  FNR-28782                            136
032                  TNX-51117                             65
033                  SZA-87265                            125
034                  FNR-28782                            154
035                  JVL-65247                             67
036                  LZL-53762                            171
037                  WBB-69295                            119
038                  XBC-95594                            178
039                  JVL-65247                             15
040                  GUJ-74444                            113
041                  HCY-32686                             27
042                  KQA-89952                            198
043                  YBD-67688                            130
044                  FTD-84699                             72
045                  GZN-34688                             33
046                  ZPF-96697                            137
047                  HVX-35287                             38
048                  GZN-34688                            139
049                  DHY-22445                             83
050                  QBD-79865                            174
051                  NHP-43928                            168
052                  FNR-28782                             59
053                  VXR-68924                            175
054                  TRM-27792                             99
055                  PNF-53949                             75
056                  KLA-57296                            167
057                  NWL-28282                             46
058                  YLW-92835                            132
059                  BCU-27839                             82
060                  ANR-65636                             13
061                  JYL-79355                            161
062                  XBC-95594                            126
063                  DHY-22445                            115
064                  XKG-42573                            141
065                  KWH-94256                              3
066                  HCY-32686                             48
067                  VJN-37687                             61
068                  HNB-76282                             94
069                  CDC-36833                            147
070                  YMA-56284                             42
071                  PWT-38779                            153
072                  LZL-53762                            134
073                  YLW-92835                            129
074                  TRM-27792                              6
075                  LNC-68448                             55
076                  QBZ-39849                             54
077                  TNA-63396                             41
078                  ZHA-83572                            142
079                  FTD-84699                            199
080                  HCY-32686                            114
081                  BTN-83953                            160
082                  KMP-52243                            195
083                  PQJ-67335                            184
084                  JVL-65247                            162
085                  PZV-75529                             58
086                  KMP-52243                             23
087                  SPN-64546                             18
088                  HZF-45469                            158
089                  YMA-56284                            106
090                  TXF-47848                             51
091                  PQJ-67335                             50
092                  PHE-99329                             17
093                  NMA-58554                            193
094                  GMS-89977                            110
095                  URL-32968                            121
096                  LWR-78574                            150
097                  GMS-89977                             31
098                  CQS-93978                             29
099                  CDC-36833                            127
100                  ANR-65636                            108
