User ID: 98705-63702

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JVL-65247                             27
002                  AJA-56777                            147
003                  HZF-45469                            119
004                  JVL-65247                            165
005                  KQA-89952                             11
006                  RGZ-73449                            182
007                  GZN-34688                            142
008                  JVL-65247                             62
009                  ZKV-31415                             13
010                  TRM-27792                             73
011                  XJQ-35789                             82
012                  EPX-87469                            143
013                  PNF-53949                            151
014                  TRM-27792                            101
015                  TQC-49936                            116
016                  PNF-53949                             97
017                  KMP-52243                            140
018                  YMA-56284                            184
019                  QBZ-39849                            141
020                  GUJ-74444                            133
021                  DAU-26394                             31
022                  PZV-75529                             32
023                  NWL-28282                             42
024                  KDV-97563                            126
025                  PNF-53949                            118
026                  WMD-65834                             71
027                  VWM-74278                            124
028                  YBD-67688                             70
029                  GUJ-74444                             89
030                  NVE-67597                             43
031                  ZXB-54692                             29
032                  DHY-22445                             20
033                  PQJ-67335                            113
034                  TXF-47848                             38
035                  ANR-65636                             53
036                  XJQ-35789                            183
037                  PZV-75529                             98
038                  QBZ-39849                            200
039                  TNA-63396                             60
040                  FYK-67999                            139
041                  HVX-35287                             34
042                  HNB-76282                            135
043                  JYL-79355                            112
044                  HCY-32686                            106
045                  FNL-93857                             54
046                  YXL-38878                             35
047                  TLT-23593                             49
048                  AJA-56777                            150
049                  XKG-42573                            179
050                  XRT-73276                             19
051                  RLT-57887                            130
052                  KMP-52243                            169
053                  NXD-76943                            197
054                  PWT-38779                             23
055                  GUJ-74444                             95
056                  VXR-68924                            190
057                  TLT-23593                            191
058                  WMD-65834                            163
059                  ZHA-83572                             28
060                  LNC-68448                             69
061                  WBB-69295                            152
062                  XBC-95594                            189
063                  XKG-42573                            129
064                  HZF-45469                            157
065                  TNA-63396                            109
066                  CQS-93978                             86
067                  XRT-73276                             93
068                  NXD-76943                            120
069                  XKG-42573                             40
070                  PZV-75529                            121
071                  VWM-74278                            166
072                  ZPF-96697                            107
073                  VWM-74278                            186
074                  WMD-65834                             84
075                  FNL-93857                             79
076                  JYL-79355                              8
077                  KWH-94256                             91
078                  HVE-32966                             52
079                  VXR-68924                             41
080                  AAV-93236                            146
081                  KDV-97563                             22
082                  VWM-74278                             67
083                  KMP-52243                            149
084                  TNX-51117                             81
085                  GBK-45859                             80
086                  YBD-67688                            193
087                  VJN-37687                             37
088                  URL-32968                             74
089                  BMN-57337                              2
090                  ZKV-31415                            176
091                  PNF-53949                            156
092                  WQM-46249                            158
093                  WQM-46249                             83
094                  NVE-67597                             25
095                  WQM-46249                             17
096                  HNB-76282                            102
097                  HCY-32686                            132
098                  TNG-52497                            167
099                  GBK-45859                             48
100                  GZN-34688                            115
