User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNX-51117                             58
002                  WMD-65834                            102
003                  AJA-56777                             96
004                  PWT-38779                            193
005                  GUJ-74444                            196
006                  CDC-36833                            125
007                  TNG-52497                            162
008                  QBZ-39849                            115
009                  HNB-76282                             45
010                  RGZ-73449                            160
011                  YBD-67688                            179
012                  NHP-43928                            156
013                  KMP-52243                             83
014                  PQJ-67335                            120
015                  FYK-67999                             94
016                  RGZ-73449                             23
017                  KWH-94256                            122
018                  YMA-56284                            185
019                  NVE-67597                            141
020                  NVE-67597                              6
021                  HNB-76282                              9
022                  GUJ-74444                            199
023                  PZV-75529                            136
024                  HVE-32966                            103
025                  ZKV-31415                             71
026                  LNC-68448                            145
027                  YXL-38878                             32
028                  JYL-79355                             93
029                  FTD-84699                            111
030                  LNC-68448                            184
031                  DHY-22445                             97
032                  YMA-56284                             98
033                  RLT-57887                             99
034                  SZA-87265                            146
035                  LZL-53762                            150
036                  BTG-65524                              7
037                  BTG-65524                            159
038                  PHE-99329                            200
039                  BTG-65524                            128
040                  URL-32968                            137
041                  BMN-57337                             91
042                  BTG-65524                            192
043                  BCU-27839                            194
044                  GMS-89977                             16
045                  HNB-76282                            112
046                  WQB-83823                            127
047                  DAU-26394                             35
048                  NVE-67597                             86
049                  HVX-35287                             37
050                  ZXB-54692                            183
051                  FYK-67999                             51
052                  VJN-37687                             12
053                  NMA-58554                            165
054                  FNL-93857                            132
055                  KQA-89952                            163
056                  YLW-92835                             44
057                  LZL-53762                             47
058                  XJQ-35789                             81
059                  TQC-49936                            175
060                  QBD-79865                             87
061                  LZL-53762                             75
062                  CPU-63784                            129
063                  HVE-32966                            110
064                  EPX-87469                             18
065                  AJA-56777                             20
066                  YLW-92835                              1
067                  WMD-65834                            168
068                  AAV-93236                            197
069                  HKZ-33728                             74
070                  BTG-65524                             10
071                  HCY-32686                             56
072                  RLT-57887                            176
073                  CDC-36833                            144
074                  LNC-68448                             61
075                  EPX-87469                             72
076                  QBD-79865                            108
077                  FTD-84699                            180
078                  CPU-63784                            117
079                  YXL-38878                             14
080                  VWM-74278                            138
081                  KDV-97563                             25
082                  YMA-56284                             19
083                  KWH-94256                             95
084                  HVE-32966                             90
085                  LZL-53762                            114
086                  GMS-89977                             15
087                  PNF-53949                            186
088                  DHY-22445                             46
089                  BCU-27839                             79
090                  EPX-87469                             27
091                  SPN-64546                            121
092                  GZN-34688                             92
093                  HCY-32686                             48
094                  SZA-87265                             54
095                  WBB-69295                            198
096                  BTG-65524                            131
097                  DAU-26394                            190
098                  GUJ-74444                             66
099                  XKG-42573                             11
100                  KMP-52243                              2
