User ID: 20347-83572

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EFG-46945                            150
002                  PNF-53949                            107
003                  EPX-87469                            191
004                  TNG-52497                            108
005                  BCU-27839                            177
006                  GUJ-74444                             66
007                  WQM-46249                            110
008                  SPN-64546                             96
009                  PQJ-67335                            190
010                  TQC-49936                             10
011                  NHP-43928                            170
012                  AJA-56777                             17
013                  HKZ-33728                             92
014                  HZF-45469                             12
015                  VJN-37687                             28
016                  GUJ-74444                             29
017                  NXD-76943                             99
018                  TNA-63396                            142
019                  TNG-52497                              2
020                  CDC-36833                             67
021                  DAU-26394                             60
022                  JVL-65247                            123
023                  PHE-99329                             46
024                  EPX-87469                            145
025                  CCG-95482                             86
026                  WBB-69295                            160
027                  XRT-73276                            185
028                  HZF-45469                            101
029                  HCY-32686                             55
030                  JPJ-26459                             68
031                  HVE-32966                             24
032                  RGZ-73449                             95
033                  TLT-23593                              8
034                  TQC-49936                            126
035                  CPU-63784                            171
036                  FYK-67999                             49
037                  QBZ-39849                            174
038                  NHP-43928                            102
039                  NHP-43928                            165
040                  HVE-32966                            139
041                  FYK-67999                             53
042                  BCU-27839                             74
043                  GZN-34688                            199
044                  KMP-52243                             54
045                  URL-32968                             23
046                  EPX-87469                             50
047                  EFG-46945                             18
048                  WQB-83823                             20
049                  FNL-93857                            131
050                  XJQ-35789                            192
051                  HNB-76282                             52
052                  VJN-37687                             64
053                  VXR-68924                            111
054                  KMP-52243                            148
055                  JYL-79355                             87
056                  CDC-36833                            144
057                  EFG-46945                              7
058                  CPU-63784                            193
059                  HZF-45469                             21
060                  FYK-67999                            127
061                  TXF-47848                             26
062                  TNA-63396                            105
063                  TNG-52497                             61
064                  VWM-74278                             48
065                  HZF-45469                             63
066                  VWM-74278                            186
067                  HVE-32966                            167
068                  YLW-92835                            133
069                  CQS-93978                            147
070                  VJN-37687                            180
071                  HCY-32686                             36
072                  CQS-93978                            104
073                  NWL-28282                             41
074                  YLW-92835                            169
075                  HVE-32966                             47
076                  JPJ-26459                            182
077                  TRM-27792                            153
078                  CPU-63784                             15
079                  ZXB-54692                              3
080                  EFG-46945                             33
081                  HKZ-33728                             45
082                  GBK-45859                            183
083                  XJQ-35789                             31
084                  PQJ-67335                            154
085                  BMN-57337                            100
086                  PQJ-67335                            112
087                  VXR-68924                             34
088                  BTN-83953                            158
089                  LNC-68448                            196
090                  DAU-26394                            181
091                  ZHA-83572                             90
092                  BTG-65524                            157
093                  TXF-47848                            120
094                  BTG-65524                             93
095                  BCU-27839                             72
096                  PQJ-67335                            143
097                  VXR-68924                            149
098                  XRT-73276                             51
099                  URL-32968                            162
100                  TLT-23593                             22
