User ID: 06139-33248

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            163
002                  XKG-42573                            198
003                  XJQ-35789                            158
004                  KDV-97563                            165
005                  NMA-58554                            132
006                  GBK-45859                             85
007                  ZPF-96697                             36
008                  SPN-64546                             30
009                  VJN-37687                             69
010                  FNR-28782                            181
011                  LWR-78574                            189
012                  JYL-79355                             79
013                  YXL-38878                             39
014                  NWL-28282                             37
015                  HCY-32686                              4
016                  HVX-35287                            150
017                  FYK-67999                            161
018                  TQC-49936                             62
019                  GUJ-74444                             25
020                  AAV-93236                            152
021                  JPJ-26459                            159
022                  PZV-75529                             14
023                  TNA-63396                             12
024                  LZL-53762                             84
025                  PQJ-67335                             40
026                  KLA-57296                            192
027                  TNA-63396                            177
028                  CDC-36833                            168
029                  BTN-83953                            190
030                  TQC-49936                            106
031                  AAV-93236                             58
032                  HNB-76282                            157
033                  ANR-65636                             75
034                  PHE-99329                             32
035                  ZPF-96697                            195
036                  HNB-76282                              5
037                  LZL-53762                              2
038                  PHE-99329                            196
039                  NWL-28282                             94
040                  XRT-73276                            133
041                  NMA-58554                            115
042                  BCU-27839                            131
043                  SPN-64546                            135
044                  YMA-56284                             27
045                  ZKV-31415                            137
046                  HVX-35287                            129
047                  HKZ-33728                             73
048                  FNR-28782                            114
049                  VXR-68924                             44
050                  TQC-49936                            108
051                  WQM-46249                            120
052                  CDC-36833                            178
053                  KDV-97563                            171
054                  EPX-87469                            134
055                  SPN-64546                             35
056                  LNC-68448                             67
057                  HZF-45469                             15
058                  XBC-95594                             20
059                  HKZ-33728                             23
060                  TLT-23593                            102
061                  ZXB-54692                              9
062                  DHY-22445                            124
063                  NVE-67597                             98
064                  URL-32968                             17
065                  PWT-38779                             89
066                  XJQ-35789                             33
067                  XJQ-35789                            117
068                  LWR-78574                             76
069                  QBZ-39849                            109
070                  NVE-67597                            169
071                  NMA-58554                            111
072                  SZA-87265                            175
073                  KDV-97563                            127
074                  ZXB-54692                            200
075                  ZKV-31415                            149
076                  GBK-45859                            176
077                  HVX-35287                             95
078                  TQC-49936                             38
079                  KMP-52243                            110
080                  VJN-37687                            172
081                  GZN-34688                            119
082                  AJA-56777                             88
083                  NWL-28282                             28
084                  BCU-27839                            144
085                  TLT-23593                            113
086                  HZF-45469                            107
087                  GMS-89977                             66
088                  XKG-42573                             77
089                  BMN-57337                             71
090                  RLT-57887                            170
091                  DAU-26394                            148
092                  VXR-68924                             60
093                  WBB-69295                             83
094                  LWR-78574                             61
095                  GUJ-74444                             96
096                  JVL-65247                             92
097                  NVE-67597                              6
098                  JVL-65247                              3
099                  FTD-84699                            194
100                  XJQ-35789                             47
