User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                             22
002                  ZPF-96697                             15
003                  SZA-87265                             41
004                  KMP-52243                              9
005                  TRM-27792                             30
006                  HZF-45469                             26
007                  ANR-65636                            113
008                  FTD-84699                             18
009                  FYK-67999                            132
010                  QBZ-39849                             83
011                  HKZ-33728                            119
012                  NMA-58554                            174
013                  AJA-56777                             33
014                  WQM-46249                            162
015                  KWH-94256                             63
016                  EPX-87469                             54
017                  YMA-56284                            140
018                  KWH-94256                            112
019                  NHP-43928                            156
020                  YMA-56284                             53
021                  GMS-89977                            165
022                  XRT-73276                            146
023                  YBD-67688                            176
024                  BCU-27839                            109
025                  TNA-63396                            138
026                  TRM-27792                            108
027                  PWT-38779                            101
028                  BMN-57337                            183
029                  WMD-65834                            173
030                  VWM-74278                             98
031                  TLT-23593                             75
032                  ZHA-83572                            193
033                  PNF-53949                             66
034                  FTD-84699                            192
035                  HVX-35287                            139
036                  PHE-99329                             24
037                  HNB-76282                             19
038                  QBD-79865                            131
039                  TNX-51117                            145
040                  VWM-74278                            130
041                  WMD-65834                            126
042                  LZL-53762                             67
043                  ZPF-96697                             29
044                  BMN-57337                            155
045                  NMA-58554                             97
046                  YMA-56284                            133
047                  KWH-94256                            148
048                  GUJ-74444                            135
049                  VJN-37687                            114
050                  RLT-57887                            152
051                  YBD-67688                            200
052                  KDV-97563                              1
053                  XRT-73276                            154
054                  CQS-93978                            187
055                  NXD-76943                              6
056                  AAV-93236                            168
057                  TRM-27792                            121
058                  YLW-92835                             68
059                  RLT-57887                            103
060                  VJN-37687                            149
061                  PWT-38779                             46
062                  HZF-45469                            137
063                  TNX-51117                              3
064                  ZPF-96697                            196
065                  CQS-93978                            197
066                  GMS-89977                            182
067                  PQJ-67335                            117
068                  WQM-46249                            143
069                  YBD-67688                            198
070                  FNL-93857                            123
071                  GMS-89977                             72
072                  URL-32968                            105
073                  WQB-83823                             96
074                  NMA-58554                            179
075                  TLT-23593                            185
076                  CCG-95482                            122
077                  PWT-38779                             64
078                  XJQ-35789                            170
079                  EPX-87469                            107
080                  KWH-94256                             84
081                  NXD-76943                             37
082                  JVL-65247                            169
083                  BTN-83953                            194
084                  XRT-73276                            178
085                  JVL-65247                             90
086                  TNA-63396                             38
087                  YXL-38878                            175
088                  XBC-95594                            144
089                  FNR-28782                             28
090                  PQJ-67335                             95
091                  URL-32968                             61
092                  GBK-45859                             35
093                  NWL-28282                             79
094                  HNB-76282                            151
095                  HKZ-33728                            142
096                  GUJ-74444                             10
097                  RLT-57887                            110
098                  NVE-67597                             91
099                  YXL-38878                             87
100                  HCY-32686                             69
