User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SZA-87265                            146
002                  JVL-65247                            153
003                  TLT-23593                             37
004                  GBK-45859                            193
005                  YLW-92835                            136
006                  VXR-68924                             89
007                  BMN-57337                            135
008                  GZN-34688                            134
009                  TNX-51117                             26
010                  GZN-34688                            128
011                  FTD-84699                            156
012                  EFG-46945                            192
013                  URL-32968                             63
014                  BTN-83953                             95
015                  NHP-43928                            118
016                  KLA-57296                             33
017                  AAV-93236                             44
018                  WQB-83823                             50
019                  WBB-69295                            106
020                  SPN-64546                            176
021                  CQS-93978                            143
022                  TQC-49936                            199
023                  VJN-37687                              4
024                  TNA-63396                              8
025                  URL-32968                             72
026                  XJQ-35789                            169
027                  PQJ-67335                              7
028                  GZN-34688                            145
029                  KLA-57296                            116
030                  CPU-63784                             68
031                  TLT-23593                            111
032                  BTN-83953                            129
033                  BMN-57337                            141
034                  ZHA-83572                            195
035                  HKZ-33728                            154
036                  QBD-79865                            172
037                  TRM-27792                            185
038                  XJQ-35789                             87
039                  BCU-27839                            162
040                  EPX-87469                             14
041                  PWT-38779                            148
042                  GBK-45859                            124
043                  CQS-93978                             91
044                  FTD-84699                            191
045                  YXL-38878                             36
046                  YBD-67688                             71
047                  NVE-67597                            132
048                  PNF-53949                             57
049                  VXR-68924                             56
050                  KWH-94256                            166
051                  PWT-38779                             98
052                  HCY-32686                              2
053                  YMA-56284                             77
054                  RGZ-73449                             96
055                  HVE-32966                             69
056                  FTD-84699                             82
057                  FNL-93857                             15
058                  CQS-93978                             75
059                  CPU-63784                            179
060                  CDC-36833                             47
061                  YMA-56284                             86
062                  PHE-99329                             60
063                  WBB-69295                             88
064                  XJQ-35789                            119
065                  NXD-76943                             20
066                  AAV-93236                             40
067                  SZA-87265                            150
068                  TNX-51117                            164
069                  KQA-89952                             38
070                  TXF-47848                            133
071                  QBZ-39849                             64
072                  CPU-63784                             11
073                  XRT-73276                            138
074                  YMA-56284                             93
075                  SZA-87265                             65
076                  PWT-38779                             41
077                  QBZ-39849                            109
078                  PQJ-67335                            120
079                  RGZ-73449                            170
080                  NHP-43928                             18
081                  YXL-38878                             31
082                  TXF-47848                            125
083                  CCG-95482                             43
084                  WQB-83823                            186
085                  XJQ-35789                            108
086                  RLT-57887                            130
087                  QBZ-39849                            159
088                  CPU-63784                            147
089                  AJA-56777                            115
090                  FNR-28782                            200
091                  VWM-74278                             61
092                  LNC-68448                            165
093                  JVL-65247                            163
094                  EPX-87469                             12
095                  NHP-43928                            123
096                  TQC-49936                             70
097                  JVL-65247                            197
098                  PQJ-67335                            183
099                  HNB-76282                             29
100                  CDC-36833                             49
