User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GBK-45859                             10
002                  CCG-95482                            139
003                  XJQ-35789                             26
004                  PWT-38779                            157
005                  EPX-87469                             69
006                  DAU-26394                            117
007                  JPJ-26459                            162
008                  PZV-75529                             99
009                  BTN-83953                             64
010                  PHE-99329                            149
011                  SZA-87265                             74
012                  XBC-95594                            132
013                  KQA-89952                            158
014                  VXR-68924                            189
015                  WQB-83823                            128
016                  PQJ-67335                            103
017                  LNC-68448                            161
018                  HZF-45469                             76
019                  EPX-87469                             60
020                  CDC-36833                             28
021                  TRM-27792                            100
022                  NHP-43928                             23
023                  YLW-92835                             88
024                  BTG-65524                             57
025                  HZF-45469                              4
026                  HCY-32686                            114
027                  ANR-65636                             77
028                  NVE-67597                            176
029                  AAV-93236                            140
030                  WQM-46249                            184
031                  TNG-52497                            116
032                  CPU-63784                            126
033                  KMP-52243                             72
034                  XKG-42573                            125
035                  XRT-73276                            122
036                  XKG-42573                             21
037                  XKG-42573                             68
038                  XRT-73276                            174
039                  JVL-65247                            131
040                  YLW-92835                              1
041                  YMA-56284                             30
042                  CCG-95482                             98
043                  JVL-65247                             61
044                  TRM-27792                            135
045                  WQB-83823                            166
046                  URL-32968                             22
047                  KWH-94256                            119
048                  KMP-52243                             18
049                  BCU-27839                             80
050                  LZL-53762                            183
051                  TXF-47848                             73
052                  BMN-57337                             37
053                  ANR-65636                            159
054                  HVX-35287                            177
055                  URL-32968                             66
056                  NWL-28282                             39
057                  FTD-84699                              7
058                  CCG-95482                             83
059                  ZPF-96697                            170
060                  KWH-94256                             82
061                  GMS-89977                            115
062                  TNX-51117                            136
063                  LWR-78574                             79
064                  KLA-57296                             75
065                  TNG-52497                            193
066                  WMD-65834                             63
067                  URL-32968                             92
068                  HVX-35287                            163
069                  RGZ-73449                             52
070                  YLW-92835                             16
071                  TQC-49936                             89
072                  ZKV-31415                            123
073                  ANR-65636                            146
074                  XJQ-35789                            185
075                  FYK-67999                            124
076                  VXR-68924                             91
077                  NHP-43928                            192
078                  KQA-89952                            127
079                  PWT-38779                             58
080                  VXR-68924                             78
081                  HKZ-33728                            182
082                  TNG-52497                            137
083                  TXF-47848                             27
084                  WQM-46249                            167
085                  NMA-58554                             47
086                  GBK-45859                            145
087                  FNR-28782                            156
088                  HCY-32686                             19
089                  HZF-45469                             62
090                  VJN-37687                            190
091                  PZV-75529                            180
092                  ZHA-83572                             35
093                  QBD-79865                            108
094                  JPJ-26459                             86
095                  RGZ-73449                              5
096                  HNB-76282                              2
097                  RGZ-73449                              3
098                  GZN-34688                             71
099                  EFG-46945                            175
100                  TQC-49936                             55
