User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                             62
002                  TNG-52497                            163
003                  PWT-38779                            103
004                  PNF-53949                            190
005                  CDC-36833                             79
006                  EPX-87469                            128
007                  JVL-65247                            169
008                  LNC-68448                            196
009                  WQM-46249                            121
010                  JVL-65247                             31
011                  CQS-93978                            136
012                  PQJ-67335                            173
013                  ANR-65636                             69
014                  LWR-78574                             19
015                  PZV-75529                            191
016                  JVL-65247                             44
017                  QBD-79865                             70
018                  XJQ-35789                            111
019                  CCG-95482                             77
020                  ANR-65636                              8
021                  SPN-64546                            144
022                  PQJ-67335                             48
023                  GBK-45859                            165
024                  LWR-78574                            181
025                  TNX-51117                            124
026                  KWH-94256                             22
027                  KLA-57296                             88
028                  GMS-89977                             25
029                  NHP-43928                             67
030                  ZXB-54692                            175
031                  NXD-76943                            179
032                  KDV-97563                            187
033                  KDV-97563                            126
034                  BCU-27839                             78
035                  KDV-97563                             13
036                  AAV-93236                              1
037                  QBD-79865                            138
038                  XKG-42573                             66
039                  PWT-38779                             32
040                  URL-32968                             35
041                  JPJ-26459                            194
042                  EFG-46945                             61
043                  ZHA-83572                            167
044                  ZPF-96697                             73
045                  KMP-52243                             81
046                  DAU-26394                            162
047                  WBB-69295                            159
048                  GBK-45859                            119
049                  NMA-58554                              5
050                  XRT-73276                            123
051                  TNG-52497                            132
052                  YBD-67688                             56
053                  XKG-42573                            108
054                  HVX-35287                            177
055                  FTD-84699                            109
056                  CQS-93978                            176
057                  VWM-74278                            149
058                  TNA-63396                             82
059                  QBZ-39849                            154
060                  QBD-79865                             49
061                  ZKV-31415                            110
062                  CQS-93978                            182
063                  PZV-75529                            155
064                  KMP-52243                             91
065                  JPJ-26459                             90
066                  LZL-53762                            122
067                  TRM-27792                             28
068                  HCY-32686                            150
069                  TNX-51117                             11
070                  PZV-75529                            189
071                  YBD-67688                             21
072                  PWT-38779                             97
073                  TNG-52497                            100
074                  BMN-57337                             40
075                  TNX-51117                             68
076                  XRT-73276                             93
077                  KLA-57296                            142
078                  TLT-23593                            199
079                  TNG-52497                             55
080                  XBC-95594                             37
081                  HKZ-33728                            141
082                  SZA-87265                            113
083                  WBB-69295                             59
084                  LWR-78574                            134
085                  PWT-38779                            129
086                  YMA-56284                             76
087                  BTN-83953                             65
088                  TRM-27792                            135
089                  TNX-51117                             99
090                  YBD-67688                            197
091                  ZHA-83572                             45
092                  GZN-34688                             52
093                  SZA-87265                            188
094                  JPJ-26459                             41
095                  VWM-74278                            143
096                  TNX-51117                            180
097                  KMP-52243                             63
098                  WBB-69295                            112
099                  VXR-68924                            133
100                  JPJ-26459                            151
