User ID: 38749-83244

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZXB-54692                             44
002                  FYK-67999                            125
003                  FNL-93857                             22
004                  NHP-43928                              3
005                  JYL-79355                             87
006                  RLT-57887                             81
007                  FNR-28782                             91
008                  HCY-32686                            141
009                  PWT-38779                             95
010                  FTD-84699                              9
011                  ZHA-83572                             90
012                  VWM-74278                            100
013                  DHY-22445                             50
014                  EFG-46945                            140
015                  XBC-95594                            124
016                  RGZ-73449                            174
017                  EFG-46945                            190
018                  FYK-67999                             41
019                  ANR-65636                              7
020                  HVE-32966                            121
021                  VJN-37687                            162
022                  KDV-97563                            122
023                  YMA-56284                            128
024                  EPX-87469                             38
025                  WQB-83823                             10
026                  HVE-32966                             40
027                  JPJ-26459                             71
028                  TNX-51117                            184
029                  TNA-63396                            131
030                  YMA-56284                            183
031                  FTD-84699                             77
032                  WMD-65834                            150
033                  ZPF-96697                             89
034                  CPU-63784                             28
035                  HNB-76282                            196
036                  CPU-63784                             32
037                  EFG-46945                            171
038                  DHY-22445                             31
039                  FTD-84699                             46
040                  GMS-89977                            108
041                  CQS-93978                             98
042                  RLT-57887                            189
043                  TRM-27792                            172
044                  NMA-58554                            133
045                  YLW-92835                            180
046                  ZPF-96697                             26
047                  LZL-53762                             21
048                  XJQ-35789                             69
049                  HZF-45469                            138
050                  ZKV-31415                            126
051                  GMS-89977                            193
052                  PWT-38779                            116
053                  GMS-89977                             27
054                  NMA-58554                            144
055                  ZXB-54692                            161
056                  DHY-22445                            107
057                  SPN-64546                             72
058                  WQB-83823                            146
059                  EFG-46945                             45
060                  DAU-26394                             64
061                  EPX-87469                             19
062                  VWM-74278                            130
063                  CDC-36833                            197
064                  BTG-65524                            166
065                  CQS-93978                              5
066                  HKZ-33728                            185
067                  FYK-67999                             35
068                  VJN-37687                            195
069                  ZXB-54692                             42
070                  PQJ-67335                             85
071                  ZKV-31415                            113
072                  FNL-93857                             58
073                  BTG-65524                              1
074                  TNA-63396                            159
075                  XBC-95594                             62
076                  GUJ-74444                            117
077                  FYK-67999                            179
078                  PNF-53949                             13
079                  PQJ-67335                             25
080                  HCY-32686                             66
081                  LZL-53762                            154
082                  NHP-43928                            119
083                  AJA-56777                            163
084                  XRT-73276                            112
085                  GMS-89977                             11
086                  PZV-75529                            177
087                  CDC-36833                             51
088                  TRM-27792                            129
089                  AJA-56777                            152
090                  FNR-28782                             37
091                  KDV-97563                            134
092                  EFG-46945                             63
093                  VJN-37687                             74
094                  TNA-63396                            165
095                  NWL-28282                             17
096                  NWL-28282                             23
097                  WBB-69295                            169
098                  WQM-46249                            118
099                  AJA-56777                             86
100                  JPJ-26459                            136
