User ID: 10592-17540

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EFG-46945                            155
002                  RGZ-73449                            162
003                  PNF-53949                            160
004                  ZPF-96697                            172
005                  ZXB-54692                            139
006                  TLT-23593                            150
007                  LZL-53762                             83
008                  GMS-89977                            143
009                  GZN-34688                            193
010                  GBK-45859                            109
011                  TNX-51117                            108
012                  WQM-46249                             46
013                  CDC-36833                             40
014                  TLT-23593                              9
015                  PZV-75529                             79
016                  SPN-64546                             62
017                  YBD-67688                            149
018                  TRM-27792                            186
019                  KDV-97563                             82
020                  CDC-36833                             77
021                  KLA-57296                            111
022                  GMS-89977                              7
023                  FNL-93857                            135
024                  TNX-51117                            171
025                  HKZ-33728                            183
026                  KWH-94256                             74
027                  HCY-32686                            180
028                  TQC-49936                             72
029                  YMA-56284                            144
030                  LZL-53762                              2
031                  QBD-79865                             96
032                  FYK-67999                             92
033                  URL-32968                             78
034                  TXF-47848                             25
035                  TRM-27792                            173
036                  EPX-87469                            168
037                  URL-32968                            107
038                  BTN-83953                             94
039                  HZF-45469                            161
040                  TLT-23593                             89
041                  ZHA-83572                             28
042                  VXR-68924                            177
043                  JVL-65247                            133
044                  GMS-89977                            134
045                  URL-32968                             11
046                  TLT-23593                             30
047                  PNF-53949                            120
048                  TNA-63396                            189
049                  BCU-27839                            140
050                  BTN-83953                            163
051                  HKZ-33728                            110
052                  FNR-28782                             21
053                  KWH-94256                              4
054                  PZV-75529                            166
055                  GZN-34688                            169
056                  CCG-95482                             59
057                  RLT-57887                            158
058                  KWH-94256                            187
059                  PNF-53949                             95
060                  FNL-93857                            126
061                  TNG-52497                            178
062                  HNB-76282                            114
063                  HKZ-33728                             71
064                  BMN-57337                             88
065                  JVL-65247                            147
066                  VWM-74278                             97
067                  DHY-22445                             93
068                  CQS-93978                            132
069                  BTG-65524                            137
070                  WQB-83823                             35
071                  RLT-57887                            124
072                  ZXB-54692                              5
073                  WBB-69295                             91
074                  BCU-27839                            129
075                  ZKV-31415                             86
076                  BTN-83953                             52
077                  XJQ-35789                            112
078                  TNG-52497                             15
079                  LNC-68448                            117
080                  KQA-89952                             67
081                  GUJ-74444                            113
082                  HVX-35287                            116
083                  WQM-46249                             68
084                  CPU-63784                             69
085                  GBK-45859                             73
086                  EFG-46945                            157
087                  XKG-42573                            154
088                  PZV-75529                            123
089                  FNL-93857                            136
090                  ZKV-31415                            185
091                  QBD-79865                             64
092                  KMP-52243                             99
093                  NMA-58554                              3
094                  DHY-22445                            165
095                  RGZ-73449                            115
096                  LNC-68448                            164
097                  AAV-93236                             17
098                  LWR-78574                             65
099                  ANR-65636                             20
100                  DHY-22445                             10
