User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KLA-57296                            140
002                  AAV-93236                            154
003                  SPN-64546                            170
004                  WQB-83823                              9
005                  KQA-89952                              6
006                  XJQ-35789                             18
007                  HVX-35287                             34
008                  KLA-57296                            174
009                  XKG-42573                            197
010                  GMS-89977                             16
011                  CQS-93978                             44
012                  YMA-56284                            172
013                  YXL-38878                             48
014                  LZL-53762                             41
015                  FYK-67999                             37
016                  FTD-84699                             90
017                  VWM-74278                            138
018                  CDC-36833                            145
019                  GMS-89977                            157
020                  CDC-36833                             55
021                  CQS-93978                            176
022                  DHY-22445                            125
023                  KQA-89952                             22
024                  GZN-34688                            106
025                  GZN-34688                             39
026                  NHP-43928                            189
027                  EFG-46945                              5
028                  HNB-76282                            132
029                  PZV-75529                            180
030                  CCG-95482                            130
031                  YMA-56284                            121
032                  XRT-73276                            192
033                  TNX-51117                            134
034                  VWM-74278                             86
035                  CQS-93978                            169
036                  CDC-36833                             56
037                  CCG-95482                            190
038                  YMA-56284                            194
039                  DHY-22445                             95
040                  XRT-73276                             53
041                  VWM-74278                             82
042                  CQS-93978                            182
043                  YBD-67688                            114
044                  FTD-84699                            175
045                  YLW-92835                             63
046                  ZPF-96697                             75
047                  HZF-45469                             69
048                  SZA-87265                            126
049                  TQC-49936                            195
050                  KMP-52243                             42
051                  JYL-79355                            153
052                  FTD-84699                             35
053                  CQS-93978                             33
054                  KLA-57296                            171
055                  XKG-42573                            105
056                  PNF-53949                            141
057                  NXD-76943                            168
058                  BMN-57337                            100
059                  KDV-97563                             57
060                  TLT-23593                            167
061                  TXF-47848                            113
062                  YBD-67688                            108
063                  HNB-76282                            187
064                  FYK-67999                            158
065                  URL-32968                             81
066                  PNF-53949                             12
067                  RLT-57887                            129
068                  DAU-26394                             26
069                  BTG-65524                            131
070                  SPN-64546                            156
071                  TRM-27792                              4
072                  FTD-84699                             88
073                  ZXB-54692                            151
074                  ANR-65636                            124
075                  WQM-46249                             64
076                  NXD-76943                             51
077                  KLA-57296                            109
078                  NHP-43928                             68
079                  HKZ-33728                            191
080                  FNL-93857                            155
081                  PNF-53949                             10
082                  JPJ-26459                            173
083                  XRT-73276                             29
084                  KQA-89952                            196
085                  XKG-42573                            199
086                  BTN-83953                              1
087                  KDV-97563                             31
088                  SZA-87265                            110
089                  CPU-63784                             38
090                  YBD-67688                            133
091                  DHY-22445                             96
092                  FNL-93857                              2
093                  GBK-45859                             19
094                  QBZ-39849                            188
095                  NHP-43928                             66
096                  HVE-32966                              3
097                  YXL-38878                             47
098                  CDC-36833                             83
099                  PHE-99329                            178
100                  KLA-57296                            184
