User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            101
002                  WQM-46249                            135
003                  BMN-57337                            182
004                  WMD-65834                            128
005                  VWM-74278                             40
006                  TNX-51117                            154
007                  KQA-89952                            115
008                  TRM-27792                            181
009                  AJA-56777                            132
010                  XBC-95594                            167
011                  DAU-26394                            185
012                  NWL-28282                             22
013                  GUJ-74444                             11
014                  NVE-67597                            192
015                  NXD-76943                             90
016                  HKZ-33728                            170
017                  XJQ-35789                             32
018                  AAV-93236                              6
019                  AJA-56777                            109
020                  TNG-52497                             38
021                  GUJ-74444                             29
022                  JPJ-26459                            118
023                  HNB-76282                             23
024                  BCU-27839                            187
025                  CPU-63784                             69
026                  AJA-56777                             74
027                  KQA-89952                            147
028                  DAU-26394                            125
029                  XRT-73276                             72
030                  VJN-37687                             57
031                  FNL-93857                            174
032                  WBB-69295                             13
033                  FNL-93857                            148
034                  TXF-47848                            106
035                  ANR-65636                            117
036                  EPX-87469                            133
037                  FNR-28782                             55
038                  HVX-35287                             98
039                  KQA-89952                             10
040                  HKZ-33728                             81
041                  NVE-67597                             87
042                  SZA-87265                            165
043                  HVE-32966                            104
044                  XKG-42573                            190
045                  YMA-56284                            146
046                  NVE-67597                             53
047                  YMA-56284                            123
048                  CQS-93978                            184
049                  QBZ-39849                            199
050                  PQJ-67335                             15
051                  VWM-74278                             24
052                  CQS-93978                            138
053                  BMN-57337                             67
054                  JPJ-26459                            130
055                  RLT-57887                            188
056                  AJA-56777                            126
057                  VXR-68924                            134
058                  YMA-56284                             30
059                  PQJ-67335                              4
060                  XRT-73276                             94
061                  GBK-45859                            153
062                  BMN-57337                            149
063                  VJN-37687                            183
064                  WQM-46249                             62
065                  TLT-23593                              9
066                  BCU-27839                            162
067                  GBK-45859                            127
068                  HCY-32686                             59
069                  DAU-26394                             18
070                  HKZ-33728                            194
071                  BTG-65524                             33
072                  KQA-89952                            119
073                  CDC-36833                            163
074                  JVL-65247                             48
075                  QBD-79865                             77
076                  HCY-32686                            105
077                  WMD-65834                            108
078                  TNG-52497                             92
079                  TLT-23593                             49
080                  GZN-34688                             35
081                  TQC-49936                            168
082                  HVE-32966                             54
083                  VWM-74278                            129
084                  PNF-53949                            172
085                  SZA-87265                            166
086                  HKZ-33728                            156
087                  CQS-93978                             99
088                  TRM-27792                              2
089                  NHP-43928                            120
090                  CQS-93978                             93
091                  KQA-89952                            145
092                  FNR-28782                              1
093                  KMP-52243                             75
094                  WQB-83823                             71
095                  LWR-78574                             43
096                  ANR-65636                             27
097                  TXF-47848                            164
098                  NHP-43928                            177
099                  TLT-23593                             36
100                  LZL-53762                            137
