User ID: 20347-83572

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                             75
002                  PNF-53949                             70
003                  PNF-53949                            196
004                  YXL-38878                            122
005                  LWR-78574                             63
006                  PQJ-67335                             61
007                  GUJ-74444                            171
008                  SZA-87265                              3
009                  PQJ-67335                             36
010                  KLA-57296                             26
011                  FNR-28782                             27
012                  YMA-56284                            159
013                  JYL-79355                             55
014                  URL-32968                             42
015                  TLT-23593                             24
016                  BTG-65524                            169
017                  KDV-97563                            101
018                  YBD-67688                             33
019                  PZV-75529                            149
020                  LNC-68448                             32
021                  SPN-64546                            199
022                  BTG-65524                             31
023                  TRM-27792                            115
024                  BCU-27839                            123
025                  TLT-23593                            165
026                  TNG-52497                            137
027                  SZA-87265                            180
028                  KLA-57296                              2
029                  GMS-89977                            191
030                  BTG-65524                            103
031                  EFG-46945                             93
032                  WMD-65834                            110
033                  BTN-83953                            142
034                  ZXB-54692                             79
035                  ZXB-54692                             95
036                  ZHA-83572                            144
037                  ANR-65636                              1
038                  TRM-27792                             17
039                  HNB-76282                            153
040                  ZHA-83572                             80
041                  KMP-52243                             56
042                  TNX-51117                            181
043                  GBK-45859                             81
044                  JPJ-26459                              5
045                  XBC-95594                             64
046                  FYK-67999                            124
047                  WMD-65834                            174
048                  LNC-68448                             34
049                  HZF-45469                             51
050                  KQA-89952                            117
051                  BMN-57337                            176
052                  GBK-45859                            154
053                  BCU-27839                            108
054                  NXD-76943                            189
055                  JVL-65247                             18
056                  YMA-56284                            107
057                  WBB-69295                            126
058                  KMP-52243                             57
059                  JPJ-26459                            160
060                  URL-32968                            183
061                  XBC-95594                            130
062                  TNA-63396                            168
063                  BTG-65524                             46
064                  JYL-79355                            161
065                  HKZ-33728                            166
066                  CCG-95482                            140
067                  TLT-23593                            102
068                  GMS-89977                             21
069                  WQB-83823                            131
070                  XKG-42573                            198
071                  FTD-84699                            150
072                  NMA-58554                             83
073                  XBC-95594                            132
074                  NHP-43928                            112
075                  LWR-78574                            120
076                  BTN-83953                             23
077                  ANR-65636                             90
078                  WMD-65834                            158
079                  VXR-68924                            105
080                  YLW-92835                             19
081                  EFG-46945                            152
082                  XBC-95594                            185
083                  XJQ-35789                             69
084                  TNX-51117                            157
085                  TNG-52497                            106
086                  XKG-42573                             28
087                  KMP-52243                            109
088                  EFG-46945                            172
089                  CCG-95482                            133
090                  XRT-73276                            113
091                  NHP-43928                            170
092                  FTD-84699                             82
093                  PWT-38779                            147
094                  TQC-49936                             96
095                  VXR-68924                             91
096                  KLA-57296                             71
097                  VJN-37687                            129
098                  TNG-52497                            100
099                  JVL-65247                             86
100                  JYL-79355                             68
