User ID: 70615-99374

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                            110
002                  FTD-84699                             35
003                  JYL-79355                             59
004                  BTN-83953                            126
005                  DHY-22445                             39
006                  VJN-37687                            131
007                  JPJ-26459                             54
008                  FNL-93857                             20
009                  XKG-42573                            116
010                  GMS-89977                             10
011                  SPN-64546                            172
012                  HNB-76282                             56
013                  ZPF-96697                            142
014                  DHY-22445                            122
015                  TXF-47848                              5
016                  PNF-53949                             73
017                  TQC-49936                             82
018                  ZXB-54692                             12
019                  EPX-87469                            145
020                  HCY-32686                            157
021                  PZV-75529                             79
022                  PZV-75529                            167
023                  FNR-28782                             64
024                  SPN-64546                            185
025                  LNC-68448                            194
026                  TQC-49936                             37
027                  WQM-46249                            114
028                  CDC-36833                             18
029                  WQB-83823                            121
030                  GMS-89977                            111
031                  YMA-56284                            147
032                  WQM-46249                            128
033                  URL-32968                            188
034                  FTD-84699                             45
035                  YXL-38878                             22
036                  NHP-43928                            140
037                  EPX-87469                             74
038                  BTG-65524                              3
039                  AJA-56777                             29
040                  VXR-68924                            117
041                  JVL-65247                            119
042                  GUJ-74444                             76
043                  TXF-47848                             88
044                  HCY-32686                             23
045                  SPN-64546                            115
046                  TNG-52497                            158
047                  EFG-46945                            160
048                  CDC-36833                             53
049                  NHP-43928                             27
050                  RGZ-73449                            199
051                  PZV-75529                             11
052                  TXF-47848                            129
053                  NHP-43928                             44
054                  EPX-87469                            107
055                  XJQ-35789                            113
056                  YLW-92835                            103
057                  JPJ-26459                             80
058                  AJA-56777                            108
059                  KMP-52243                            183
060                  TNX-51117                             40
061                  TNA-63396                            138
062                  GMS-89977                             34
063                  RLT-57887                             41
064                  YBD-67688                             24
065                  ZPF-96697                            123
066                  HVE-32966                            196
067                  GMS-89977                            150
068                  KMP-52243                            174
069                  KDV-97563                            154
070                  EPX-87469                             26
071                  TLT-23593                             25
072                  HNB-76282                            159
073                  EPX-87469                             87
074                  LWR-78574                            100
075                  ZPF-96697                             50
076                  XKG-42573                            187
077                  TNX-51117                             95
078                  FYK-67999                             16
079                  YBD-67688                             61
080                  ZXB-54692                            112
081                  PQJ-67335                            102
082                  ZHA-83572                            170
083                  PWT-38779                            175
084                  DHY-22445                             67
085                  CQS-93978                             42
086                  WBB-69295                            135
087                  PZV-75529                             33
088                  ZPF-96697                            180
089                  YXL-38878                            137
090                  HZF-45469                            132
091                  XKG-42573                             66
092                  YXL-38878                            178
093                  YXL-38878                             98
094                  BCU-27839                            130
095                  PQJ-67335                             70
096                  URL-32968                            198
097                  NHP-43928                            176
098                  TRM-27792                            106
099                  TQC-49936                             57
100                  LNC-68448                             92
