User ID: 73632-00344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                             16
002                  FNL-93857                            154
003                  XRT-73276                            106
004                  HVX-35287                            105
005                  ZPF-96697                            142
006                  NXD-76943                             64
007                  VJN-37687                            101
008                  CDC-36833                            122
009                  EFG-46945                             45
010                  GMS-89977                             32
011                  JYL-79355                            139
012                  FTD-84699                            188
013                  JVL-65247                            131
014                  TNG-52497                             77
015                  XBC-95594                             37
016                  XRT-73276                            138
017                  PHE-99329                            144
018                  FNR-28782                            104
019                  WBB-69295                             44
020                  ZHA-83572                              1
021                  HVE-32966                             86
022                  PNF-53949                            180
023                  GMS-89977                            160
024                  XJQ-35789                             65
025                  PNF-53949                            196
026                  TRM-27792                             51
027                  GMS-89977                            190
028                  AAV-93236                            165
029                  YBD-67688                            133
030                  GZN-34688                            164
031                  GUJ-74444                             33
032                  FNR-28782                             48
033                  PHE-99329                            100
034                  GMS-89977                            129
035                  NVE-67597                             15
036                  RLT-57887                             96
037                  BMN-57337                             73
038                  HNB-76282                            137
039                  PNF-53949                            192
040                  URL-32968                            148
041                  AJA-56777                             87
042                  YLW-92835                             42
043                  HVX-35287                            121
044                  FNR-28782                             19
045                  AJA-56777                             59
046                  HVX-35287                             90
047                  BMN-57337                            175
048                  YBD-67688                             89
049                  QBZ-39849                            146
050                  KMP-52243                             93
051                  ZHA-83572                            169
052                  JVL-65247                            143
053                  KWH-94256                            118
054                  BTN-83953                            186
055                  GUJ-74444                            167
056                  HNB-76282                            110
057                  FNR-28782                             53
058                  YMA-56284                            113
059                  XKG-42573                             57
060                  TNG-52497                             62
061                  PWT-38779                             82
062                  ZHA-83572                             71
063                  ZHA-83572                            111
064                  CQS-93978                            116
065                  NHP-43928                            161
066                  NWL-28282                             28
067                  YXL-38878                            124
068                  QBD-79865                             34
069                  XKG-42573                            114
070                  YLW-92835                            193
071                  FYK-67999                            149
072                  TNA-63396                            182
073                  KWH-94256                             63
074                  KWH-94256                            189
075                  PHE-99329                             75
076                  VXR-68924                            140
077                  BMN-57337                             43
078                  TNX-51117                              8
079                  DHY-22445                            159
080                  AAV-93236                            156
081                  HCY-32686                              5
082                  ZKV-31415                             98
083                  RGZ-73449                             79
084                  DHY-22445                            191
085                  BCU-27839                            177
086                  HKZ-33728                             39
087                  RGZ-73449                             18
088                  YXL-38878                              2
089                  JYL-79355                            126
090                  CDC-36833                            115
091                  CQS-93978                             30
092                  BTN-83953                             81
093                  ANR-65636                            194
094                  AJA-56777                             21
095                  RLT-57887                            109
096                  CQS-93978                             95
097                  NMA-58554                            117
098                  FYK-67999                            168
099                  EFG-46945                              4
100                  CDC-36833                            179
