User ID: 05481-39385

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WMD-65834                            130
002                  LNC-68448                            170
003                  DAU-26394                             33
004                  YBD-67688                            138
005                  BTN-83953                             34
006                  AJA-56777                             29
007                  BMN-57337                            175
008                  ZXB-54692                            121
009                  CDC-36833                            132
010                  GMS-89977                            147
011                  CPU-63784                             35
012                  PNF-53949                            125
013                  GZN-34688                             64
014                  ANR-65636                            105
015                  VJN-37687                            109
016                  EPX-87469                            199
017                  VXR-68924                             24
018                  SPN-64546                            191
019                  CDC-36833                            151
020                  PWT-38779                              9
021                  ZXB-54692                             14
022                  TQC-49936                             44
023                  TNX-51117                            142
024                  HCY-32686                            174
025                  XBC-95594                            188
026                  BTG-65524                            192
027                  NXD-76943                             61
028                  TNX-51117                            150
029                  KWH-94256                             40
030                  XBC-95594                            127
031                  PQJ-67335                             76
032                  AAV-93236                             23
033                  VXR-68924                             99
034                  VJN-37687                              5
035                  ANR-65636                            149
036                  NWL-28282                             25
037                  FYK-67999                             37
038                  YMA-56284                             94
039                  CQS-93978                            139
040                  CDC-36833                             43
041                  WQM-46249                             65
042                  TNA-63396                            136
043                  CDC-36833                            144
044                  TNG-52497                             30
045                  YXL-38878                            146
046                  WBB-69295                             67
047                  KWH-94256                            156
048                  CDC-36833                            119
049                  PWT-38779                             31
050                  TNG-52497                             75
051                  EFG-46945                            182
052                  RGZ-73449                            158
053                  CQS-93978                             77
054                  LWR-78574                            135
055                  QBZ-39849                            153
056                  HKZ-33728                            180
057                  HVX-35287                             12
058                  FYK-67999                             54
059                  RGZ-73449                             42
060                  HNB-76282                            140
061                  YXL-38878                            154
062                  TXF-47848                             88
063                  TXF-47848                             57
064                  TXF-47848                             81
065                  WQM-46249                            173
066                  VJN-37687                            160
067                  ZKV-31415                             70
068                  CQS-93978                            168
069                  EPX-87469                            112
070                  RLT-57887                              7
071                  EFG-46945                            157
072                  SZA-87265                            166
073                  ANR-65636                             58
074                  PZV-75529                            106
075                  HKZ-33728                             28
076                  YMA-56284                            111
077                  YMA-56284                            196
078                  HVX-35287                             86
079                  CDC-36833                             50
080                  CPU-63784                            164
081                  KQA-89952                              4
082                  GMS-89977                             21
083                  YMA-56284                             95
084                  CDC-36833                             46
085                  TXF-47848                            165
086                  VJN-37687                            137
087                  XRT-73276                            189
088                  GBK-45859                             72
089                  TQC-49936                             56
090                  BTN-83953                             47
091                  GZN-34688                            172
092                  XKG-42573                             10
093                  GZN-34688                            107
094                  XKG-42573                            128
095                  YXL-38878                             83
096                  GZN-34688                            197
097                  RGZ-73449                            181
098                  CPU-63784                            108
099                  YMA-56284                             52
100                  WQB-83823                             69
