User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                             66
002                  FTD-84699                            111
003                  KWH-94256                            183
004                  JVL-65247                             39
005                  TNX-51117                            141
006                  RLT-57887                              1
007                  HVE-32966                             17
008                  YLW-92835                             26
009                  JPJ-26459                             35
010                  SZA-87265                            152
011                  WQB-83823                             52
012                  QBZ-39849                            197
013                  ZPF-96697                             20
014                  SZA-87265                             31
015                  TNX-51117                             84
016                  ZPF-96697                             92
017                  URL-32968                             71
018                  YXL-38878                            176
019                  PWT-38779                             28
020                  VJN-37687                            133
021                  ZPF-96697                            198
022                  CPU-63784                            109
023                  WBB-69295                             22
024                  JYL-79355                            120
025                  FNL-93857                              4
026                  KLA-57296                            200
027                  WQB-83823                             80
028                  XRT-73276                             89
029                  LZL-53762                             99
030                  PQJ-67335                             97
031                  GMS-89977                            196
032                  HVE-32966                            123
033                  YXL-38878                            115
034                  ANR-65636                             76
035                  TLT-23593                             14
036                  GUJ-74444                             73
037                  GZN-34688                             94
038                  KLA-57296                             51
039                  NHP-43928                            139
040                  XKG-42573                            147
041                  CQS-93978                            159
042                  VXR-68924                            129
043                  PHE-99329                            160
044                  TLT-23593                            148
045                  TLT-23593                             13
046                  BCU-27839                            180
047                  XJQ-35789                             16
048                  HCY-32686                            127
049                  FNR-28782                            121
050                  DHY-22445                             33
051                  NVE-67597                             54
052                  WMD-65834                            125
053                  FNL-93857                            187
054                  RGZ-73449                              7
055                  SZA-87265                             55
056                  RGZ-73449                             18
057                  RGZ-73449                             36
058                  NVE-67597                            128
059                  FNR-28782                            116
060                  QBD-79865                              2
061                  NWL-28282                            122
062                  ANR-65636                             74
063                  WMD-65834                            199
064                  FNL-93857                              6
065                  YXL-38878                            108
066                  AAV-93236                             30
067                  TNA-63396                            170
068                  ANR-65636                            113
069                  KLA-57296                            157
070                  WBB-69295                            107
071                  BTN-83953                             34
072                  WMD-65834                            105
073                  GZN-34688                            161
074                  TNA-63396                            104
075                  XBC-95594                            175
076                  BTN-83953                             85
077                  BTN-83953                             87
078                  WQB-83823                            142
079                  LZL-53762                             27
080                  ZKV-31415                            156
081                  CDC-36833                             43
082                  YLW-92835                             93
083                  HVE-32966                            131
084                  GZN-34688                             53
085                  EFG-46945                            177
086                  LZL-53762                            193
087                  BCU-27839                             47
088                  HZF-45469                            132
089                  ANR-65636                            146
090                  GZN-34688                            165
091                  XJQ-35789                            151
092                  HVX-35287                             15
093                  QBD-79865                             24
094                  JYL-79355                             11
095                  VWM-74278                             25
096                  RLT-57887                             12
097                  BMN-57337                             48
098                  ZHA-83572                            135
099                  JYL-79355                            171
100                  NMA-58554                            145
