User ID: 09312-94888

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PNF-53949                             26
002                  NWL-28282                             23
003                  LWR-78574                             69
004                  AAV-93236                             36
005                  PWT-38779                             80
006                  GUJ-74444                            175
007                  TNX-51117                             38
008                  KLA-57296                            110
009                  XKG-42573                             29
010                  XJQ-35789                              2
011                  ANR-65636                             11
012                  ANR-65636                            191
013                  CPU-63784                             15
014                  XKG-42573                              6
015                  DAU-26394                             44
016                  LNC-68448                            135
017                  HKZ-33728                            165
018                  PZV-75529                             57
019                  PQJ-67335                            128
020                  GUJ-74444                             59
021                  XJQ-35789                             12
022                  WQB-83823                            120
023                  ZXB-54692                            102
024                  NHP-43928                            149
025                  CQS-93978                             37
026                  YLW-92835                            171
027                  AAV-93236                            130
028                  CDC-36833                            154
029                  CPU-63784                            131
030                  TQC-49936                            174
031                  NVE-67597                             30
032                  ZHA-83572                             20
033                  FNL-93857                            160
034                  HCY-32686                            118
035                  YMA-56284                             74
036                  ZXB-54692                             72
037                  KLA-57296                             47
038                  KWH-94256                            138
039                  PWT-38779                             35
040                  PHE-99329                             75
041                  FTD-84699                            197
042                  FYK-67999                             48
043                  ZKV-31415                            141
044                  VXR-68924                             83
045                  GUJ-74444                             28
046                  NHP-43928                            157
047                  KQA-89952                            181
048                  TQC-49936                             90
049                  DAU-26394                            188
050                  PWT-38779                             89
051                  SZA-87265                             32
052                  QBZ-39849                              5
053                  AJA-56777                            139
054                  YXL-38878                            196
055                  YMA-56284                             98
056                  FTD-84699                            121
057                  TLT-23593                            109
058                  JVL-65247                             39
059                  CPU-63784                             17
060                  KMP-52243                            163
061                  WQM-46249                            151
062                  YLW-92835                            124
063                  CDC-36833                             45
064                  ZXB-54692                            192
065                  JVL-65247                             51
066                  TLT-23593                             76
067                  ZHA-83572                            112
068                  XKG-42573                             73
069                  PQJ-67335                            105
070                  GBK-45859                            125
071                  BMN-57337                            122
072                  ANR-65636                             97
073                  BMN-57337                             94
074                  TXF-47848                             93
075                  GBK-45859                            101
076                  ZPF-96697                            148
077                  ZPF-96697                            156
078                  KDV-97563                             42
079                  XRT-73276                            161
080                  PQJ-67335                            186
081                  SPN-64546                             34
082                  LNC-68448                            164
083                  CCG-95482                              4
084                  ANR-65636                             56
085                  VWM-74278                              7
086                  HKZ-33728                              3
087                  PNF-53949                            108
088                  LZL-53762                             88
089                  LZL-53762                            173
090                  CCG-95482                             92
091                  AAV-93236                             85
092                  FNR-28782                            172
093                  TLT-23593                            184
094                  NHP-43928                            162
095                  GMS-89977                            168
096                  KQA-89952                            169
097                  NHP-43928                             65
098                  GMS-89977                            195
099                  EPX-87469                            129
100                  KWH-94256                            150
