User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DHY-22445                             19
002                  CCG-95482                             48
003                  BMN-57337                             32
004                  ANR-65636                            109
005                  KDV-97563                            153
006                  AAV-93236                            108
007                  KDV-97563                            139
008                  HZF-45469                             31
009                  XKG-42573                            111
010                  HCY-32686                             97
011                  WMD-65834                            147
012                  CCG-95482                             35
013                  NWL-28282                            129
014                  CQS-93978                            184
015                  HKZ-33728                             51
016                  YBD-67688                            132
017                  TNA-63396                            136
018                  BTG-65524                             90
019                  GBK-45859                            123
020                  JVL-65247                             89
021                  GMS-89977                             46
022                  SPN-64546                             94
023                  CQS-93978                             72
024                  DHY-22445                            110
025                  HVE-32966                            187
026                  BTG-65524                            107
027                  BCU-27839                            191
028                  TRM-27792                             38
029                  VWM-74278                            133
030                  FNR-28782                            101
031                  TNA-63396                              2
032                  KMP-52243                            195
033                  NWL-28282                            118
034                  KQA-89952                            121
035                  TXF-47848                            173
036                  KQA-89952                            188
037                  HKZ-33728                             60
038                  JVL-65247                             58
039                  GZN-34688                            135
040                  YBD-67688                             18
041                  VWM-74278                             26
042                  DHY-22445                            199
043                  XBC-95594                            193
044                  VXR-68924                              5
045                  WQM-46249                            152
046                  SPN-64546                             44
047                  VXR-68924                             15
048                  NHP-43928                            161
049                  HVE-32966                              4
050                  PQJ-67335                             56
051                  CPU-63784                             75
052                  ZHA-83572                            171
053                  CPU-63784                            159
054                  BTG-65524                             63
055                  TNG-52497                            119
056                  EPX-87469                             98
057                  PHE-99329                            185
058                  EPX-87469                            112
059                  WQM-46249                            176
060                  WQB-83823                             83
061                  ANR-65636                            196
062                  ZXB-54692                            158
063                  PQJ-67335                             59
064                  ZPF-96697                             88
065                  GBK-45859                             12
066                  TXF-47848                            114
067                  YXL-38878                             57
068                  NHP-43928                            141
069                  YMA-56284                            168
070                  XJQ-35789                              3
071                  VXR-68924                             17
072                  VJN-37687                            128
073                  PHE-99329                            181
074                  WQB-83823                             87
075                  LNC-68448                            122
076                  NMA-58554                            189
077                  HVE-32966                            166
078                  JVL-65247                             96
079                  DAU-26394                             93
080                  URL-32968                            182
081                  GZN-34688                            145
082                  HCY-32686                            146
083                  TNX-51117                            127
084                  SPN-64546                             52
085                  JYL-79355                             27
086                  DAU-26394                            144
087                  XRT-73276                            192
088                  TNX-51117                             53
089                  BMN-57337                             54
090                  TNX-51117                            197
091                  JYL-79355                            190
092                  TNX-51117                             16
093                  GMS-89977                             86
094                  VXR-68924                            113
095                  EFG-46945                             13
096                  VXR-68924                             68
097                  BMN-57337                             76
098                  BTG-65524                            143
099                  PQJ-67335                             92
100                  GZN-34688                            154
