User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DHY-22445                            115
002                  LZL-53762                             64
003                  ZPF-96697                            162
004                  GZN-34688                             10
005                  GUJ-74444                            156
006                  XKG-42573                             77
007                  PQJ-67335                             60
008                  GMS-89977                             25
009                  YMA-56284                             51
010                  HKZ-33728                             95
011                  URL-32968                            151
012                  PNF-53949                              3
013                  KLA-57296                             40
014                  ZKV-31415                             98
015                  HNB-76282                             74
016                  FNL-93857                             49
017                  URL-32968                             88
018                  YMA-56284                              8
019                  AJA-56777                            198
020                  ZKV-31415                             35
021                  HZF-45469                             62
022                  HVE-32966                             69
023                  QBD-79865                             28
024                  ZKV-31415                            157
025                  NWL-28282                            121
026                  TNA-63396                            161
027                  HCY-32686                             68
028                  FTD-84699                             79
029                  ZHA-83572                            179
030                  NMA-58554                            150
031                  FNR-28782                            129
032                  DHY-22445                            120
033                  TRM-27792                             73
034                  EFG-46945                            192
035                  HNB-76282                             43
036                  TNG-52497                            131
037                  GMS-89977                              9
038                  NHP-43928                            194
039                  ZXB-54692                             15
040                  WBB-69295                            197
041                  ZHA-83572                            126
042                  KDV-97563                            154
043                  PZV-75529                            141
044                  QBZ-39849                            167
045                  NMA-58554                            102
046                  YBD-67688                             89
047                  CCG-95482                              5
048                  TNX-51117                             42
049                  VJN-37687                            152
050                  LWR-78574                             97
051                  EPX-87469                            178
052                  BMN-57337                             65
053                  JPJ-26459                            119
054                  HNB-76282                             11
055                  PHE-99329                            107
056                  QBD-79865                            114
057                  XJQ-35789                            139
058                  URL-32968                            185
059                  HKZ-33728                             70
060                  KWH-94256                             48
061                  EPX-87469                            132
062                  TRM-27792                             78
063                  TNX-51117                            122
064                  DHY-22445                            100
065                  HNB-76282                            112
066                  BCU-27839                            148
067                  JPJ-26459                            110
068                  YMA-56284                            163
069                  FNL-93857                             31
070                  HCY-32686                             58
071                  HVE-32966                            117
072                  NHP-43928                             50
073                  CQS-93978                             37
074                  GMS-89977                            135
075                  GZN-34688                             20
076                  RLT-57887                             44
077                  QBZ-39849                             27
078                  GUJ-74444                            158
079                  FNR-28782                            189
080                  FTD-84699                            187
081                  TXF-47848                             23
082                  VJN-37687                             21
083                  WQB-83823                             52
084                  NXD-76943                            106
085                  DHY-22445                             13
086                  BTN-83953                            181
087                  DHY-22445                             57
088                  TLT-23593                             16
089                  KQA-89952                            144
090                  HZF-45469                            101
091                  LWR-78574                             94
092                  DHY-22445                            177
093                  RGZ-73449                              1
094                  KLA-57296                            200
095                  GZN-34688                             99
096                  YXL-38878                             17
097                  KMP-52243                            180
098                  TRM-27792                            103
099                  ANR-65636                            188
100                  BMN-57337                            170
