User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                             44
002                  ZKV-31415                             99
003                  GMS-89977                            134
004                  YBD-67688                            124
005                  YMA-56284                            193
006                  XKG-42573                            143
007                  FNR-28782                             43
008                  TNA-63396                            184
009                  JYL-79355                             19
010                  YMA-56284                            117
011                  WQM-46249                            175
012                  QBD-79865                             51
013                  BTN-83953                            174
014                  FNL-93857                            122
015                  PHE-99329                              4
016                  JVL-65247                              9
017                  YLW-92835                             31
018                  TXF-47848                            157
019                  GBK-45859                            170
020                  VJN-37687                             17
021                  TLT-23593                              3
022                  ZPF-96697                            123
023                  VJN-37687                            100
024                  ZHA-83572                             63
025                  NMA-58554                             70
026                  HVE-32966                            119
027                  GZN-34688                            141
028                  HNB-76282                            154
029                  WMD-65834                            166
030                  KMP-52243                             91
031                  XKG-42573                             66
032                  PNF-53949                            186
033                  NHP-43928                             33
034                  BCU-27839                            171
035                  KWH-94256                            150
036                  EFG-46945                            195
037                  PNF-53949                            126
038                  KLA-57296                              6
039                  CDC-36833                             37
040                  QBD-79865                            190
041                  CCG-95482                             29
042                  KQA-89952                            183
043                  EFG-46945                            129
044                  PNF-53949                             46
045                  GBK-45859                             71
046                  PHE-99329                             94
047                  HNB-76282                            101
048                  FYK-67999                             22
049                  HKZ-33728                            159
050                  VXR-68924                            135
051                  TNG-52497                             14
052                  KWH-94256                             24
053                  FNR-28782                             97
054                  URL-32968                            115
055                  FNR-28782                             78
056                  NMA-58554                             42
057                  GBK-45859                             89
058                  PQJ-67335                            194
059                  VXR-68924                            178
060                  TLT-23593                             35
061                  XKG-42573                             27
062                  NXD-76943                            146
063                  HVE-32966                            189
064                  SZA-87265                             52
065                  HVE-32966                            169
066                  WQB-83823                             21
067                  KQA-89952                            120
068                  FYK-67999                            110
069                  TNG-52497                            133
070                  RGZ-73449                            109
071                  YXL-38878                             54
072                  BCU-27839                            107
073                  QBD-79865                            179
074                  URL-32968                            108
075                  BTN-83953                            114
076                  NMA-58554                              2
077                  BTN-83953                             73
078                  BTN-83953                             10
079                  JPJ-26459                             93
080                  TNX-51117                             26
081                  KDV-97563                             18
082                  YBD-67688                            106
083                  QBD-79865                            139
084                  YXL-38878                             88
085                  ZKV-31415                             80
086                  TQC-49936                             69
087                  CQS-93978                             38
088                  KQA-89952                            199
089                  TNG-52497                            164
090                  FNL-93857                             20
091                  NHP-43928                            112
092                  CDC-36833                             34
093                  KWH-94256                            137
094                  PQJ-67335                             65
095                  XBC-95594                             75
096                  XKG-42573                             36
097                  KMP-52243                            130
098                  JPJ-26459                            180
099                  FNL-93857                             61
100                  YBD-67688                            156
