User ID: 66537-00315

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HCY-32686                             74
002                  GUJ-74444                             41
003                  KLA-57296                             23
004                  YLW-92835                            126
005                  TRM-27792                             60
006                  VXR-68924                            168
007                  WQM-46249                            161
008                  VJN-37687                            132
009                  VJN-37687                            177
010                  SZA-87265                            163
011                  XBC-95594                             39
012                  HZF-45469                            148
013                  RLT-57887                            188
014                  NMA-58554                             80
015                  HCY-32686                            122
016                  PZV-75529                            156
017                  HVE-32966                             93
018                  HKZ-33728                              2
019                  PNF-53949                            123
020                  FNL-93857                            102
021                  FNL-93857                            137
022                  JVL-65247                            182
023                  QBZ-39849                             38
024                  SPN-64546                             69
025                  GUJ-74444                            141
026                  LNC-68448                             84
027                  ZHA-83572                              8
028                  HKZ-33728                             83
029                  ZXB-54692                            173
030                  CQS-93978                             56
031                  KMP-52243                             61
032                  XJQ-35789                            131
033                  CDC-36833                            181
034                  RLT-57887                            200
035                  ZXB-54692                            166
036                  BMN-57337                              7
037                  VJN-37687                             12
038                  DHY-22445                            162
039                  GZN-34688                             63
040                  HNB-76282                            189
041                  VXR-68924                             32
042                  AJA-56777                            167
043                  PWT-38779                              9
044                  YLW-92835                             31
045                  WQM-46249                             44
046                  VJN-37687                             51
047                  KQA-89952                             13
048                  ZXB-54692                            186
049                  HVE-32966                             15
050                  NVE-67597                            185
051                  WMD-65834                             19
052                  XJQ-35789                             55
053                  BTG-65524                            147
054                  FYK-67999                            103
055                  EPX-87469                            160
056                  AAV-93236                             87
057                  XKG-42573                            184
058                  ZHA-83572                            118
059                  WQM-46249                            130
060                  YMA-56284                            190
061                  XRT-73276                             42
062                  CQS-93978                             86
063                  ZPF-96697                            128
064                  TLT-23593                              1
065                  SZA-87265                             36
066                  HVE-32966                            175
067                  EPX-87469                             50
068                  TNX-51117                             64
069                  JYL-79355                            145
070                  BTN-83953                             49
071                  WBB-69295                            129
072                  YBD-67688                             47
073                  SPN-64546                             37
074                  FNR-28782                            124
075                  CCG-95482                            153
076                  PNF-53949                            119
077                  TXF-47848                            115
078                  VJN-37687                            198
079                  PNF-53949                             66
080                  SZA-87265                            194
081                  NWL-28282                              3
082                  HKZ-33728                             40
083                  GUJ-74444                            121
084                  XBC-95594                             52
085                  HZF-45469                             65
086                  HVX-35287                            164
087                  KDV-97563                             35
088                  NMA-58554                            193
089                  HZF-45469                            171
090                  FYK-67999                            139
091                  VWM-74278                            191
092                  HKZ-33728                             62
093                  PWT-38779                             96
094                  XBC-95594                             97
095                  CCG-95482                            158
096                  GUJ-74444                             59
097                  DAU-26394                            180
098                  NVE-67597                             98
099                  GUJ-74444                            127
100                  KLA-57296                             73
