User ID: 63581-09884

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PHE-99329                             47
002                  KWH-94256                            168
003                  GMS-89977                            167
004                  NHP-43928                             88
005                  ZHA-83572                            106
006                  URL-32968                            158
007                  GMS-89977                              6
008                  JVL-65247                            107
009                  YXL-38878                            179
010                  QBZ-39849                             43
011                  GMS-89977                            141
012                  HKZ-33728                             44
013                  AAV-93236                            101
014                  NXD-76943                            156
015                  XRT-73276                            128
016                  KLA-57296                            190
017                  HKZ-33728                              1
018                  TQC-49936                            102
019                  LWR-78574                            113
020                  YMA-56284                            175
021                  BMN-57337                             34
022                  LZL-53762                            162
023                  PNF-53949                            131
024                  DAU-26394                             67
025                  ZPF-96697                            104
026                  XRT-73276                            127
027                  TNA-63396                            163
028                  HVX-35287                             36
029                  CCG-95482                             59
030                  BTG-65524                            143
031                  ZPF-96697                             75
032                  BTG-65524                             46
033                  FNL-93857                              8
034                  LNC-68448                             41
035                  RLT-57887                             29
036                  FNL-93857                             66
037                  TQC-49936                            132
038                  NVE-67597                            121
039                  YXL-38878                            103
040                  VXR-68924                            139
041                  XKG-42573                            160
042                  YLW-92835                             50
043                  BTN-83953                             53
044                  NMA-58554                             86
045                  GZN-34688                            148
046                  WBB-69295                             32
047                  YLW-92835                            170
048                  EFG-46945                             31
049                  LWR-78574                            155
050                  KQA-89952                             97
051                  BTG-65524                            192
052                  TLT-23593                            195
053                  QBZ-39849                             96
054                  HNB-76282                            171
055                  DHY-22445                             38
056                  RLT-57887                            172
057                  BTG-65524                             30
058                  NMA-58554                             42
059                  FYK-67999                             99
060                  AAV-93236                            124
061                  HKZ-33728                             40
062                  VWM-74278                            159
063                  HCY-32686                              5
064                  CPU-63784                            100
065                  JYL-79355                             92
066                  TNA-63396                            185
067                  HCY-32686                             94
068                  AJA-56777                             69
069                  PQJ-67335                             74
070                  EPX-87469                            126
071                  CPU-63784                            161
072                  NWL-28282                            122
073                  LZL-53762                             22
074                  NVE-67597                            173
075                  PQJ-67335                            183
076                  EPX-87469                             24
077                  TNX-51117                             19
078                  HCY-32686                            193
079                  CQS-93978                            196
080                  KQA-89952                             64
081                  FNR-28782                             73
082                  FNL-93857                            187
083                  AAV-93236                             76
084                  HZF-45469                            147
085                  CCG-95482                            182
086                  TNX-51117                             98
087                  LZL-53762                             84
088                  BCU-27839                             26
089                  ANR-65636                            108
090                  PNF-53949                            142
091                  LZL-53762                             61
092                  QBZ-39849                            105
093                  HKZ-33728                            178
094                  LWR-78574                             80
095                  PWT-38779                             37
096                  RLT-57887                            134
097                  GUJ-74444                            198
098                  QBZ-39849                            114
099                  CQS-93978                            138
100                  ZKV-31415                             77
