User ID: 68589-74799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YMA-56284                            142
002                  ZXB-54692                             83
003                  HVX-35287                            186
004                  KQA-89952                              8
005                  HZF-45469                            165
006                  TQC-49936                            158
007                  XJQ-35789                             62
008                  TXF-47848                             22
009                  LNC-68448                            198
010                  JVL-65247                            133
011                  LWR-78574                            109
012                  NVE-67597                             45
013                  TQC-49936                             82
014                  CCG-95482                             69
015                  RLT-57887                             36
016                  TLT-23593                             87
017                  HVE-32966                              2
018                  YMA-56284                             13
019                  AJA-56777                             11
020                  CCG-95482                             77
021                  HVX-35287                            130
022                  TRM-27792                             79
023                  DAU-26394                             56
024                  PHE-99329                            107
025                  WMD-65834                            126
026                  WBB-69295                             85
027                  KWH-94256                             59
028                  GZN-34688                            120
029                  GMS-89977                             73
030                  URL-32968                              7
031                  GUJ-74444                            100
032                  WMD-65834                            144
033                  FTD-84699                            159
034                  FNR-28782                            155
035                  XKG-42573                            200
036                  TNX-51117                             99
037                  TQC-49936                            150
038                  FNR-28782                            134
039                  SZA-87265                            175
040                  WMD-65834                             18
041                  PQJ-67335                             25
042                  EPX-87469                             71
043                  ZPF-96697                            194
044                  KWH-94256                             68
045                  YMA-56284                            181
046                  AAV-93236                             92
047                  WBB-69295                             67
048                  CDC-36833                             93
049                  KWH-94256                            192
050                  JYL-79355                            117
051                  VXR-68924                              4
052                  GUJ-74444                            112
053                  HCY-32686                            140
054                  ANR-65636                            147
055                  KMP-52243                             66
056                  KMP-52243                            164
057                  XJQ-35789                             32
058                  CDC-36833                             88
059                  DHY-22445                            171
060                  TQC-49936                             65
061                  LNC-68448                             44
062                  QBD-79865                             27
063                  VXR-68924                            102
064                  CDC-36833                            166
065                  CDC-36833                            106
066                  TLT-23593                            184
067                  GBK-45859                             37
068                  TXF-47848                            169
069                  TNA-63396                             61
070                  HVE-32966                            101
071                  FNL-93857                            128
072                  JPJ-26459                            138
073                  PQJ-67335                            103
074                  EPX-87469                             91
075                  WMD-65834                            197
076                  WMD-65834                            105
077                  XJQ-35789                             17
078                  NWL-28282                            173
079                  SZA-87265                             49
080                  PHE-99329                             46
081                  TNG-52497                            176
082                  VJN-37687                            141
083                  ZPF-96697                             84
084                  QBZ-39849                            111
085                  NWL-28282                            125
086                  DHY-22445                            104
087                  GZN-34688                             97
088                  QBZ-39849                            195
089                  DAU-26394                             54
090                  ZHA-83572                            129
091                  HVE-32966                            188
092                  DHY-22445                            180
093                  VXR-68924                             40
094                  SPN-64546                            114
095                  YLW-92835                             52
096                  BTN-83953                             80
097                  PQJ-67335                             43
098                  WQB-83823                            189
099                  KMP-52243                             86
100                  BMN-57337                            132
