User ID: 23694-74441

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBD-79865                            149
002                  PQJ-67335                            109
003                  ZPF-96697                             83
004                  BTN-83953                            188
005                  CDC-36833                             25
006                  CDC-36833                            125
007                  YLW-92835                             61
008                  ZKV-31415                             63
009                  ZPF-96697                            101
010                  EFG-46945                             90
011                  XKG-42573                             21
012                  HKZ-33728                             32
013                  LNC-68448                            154
014                  TNX-51117                            153
015                  KQA-89952                            158
016                  FNR-28782                            151
017                  FTD-84699                            195
018                  FTD-84699                            174
019                  RLT-57887                             19
020                  TNG-52497                            130
021                  PWT-38779                             52
022                  ZKV-31415                             10
023                  NWL-28282                             26
024                  DHY-22445                             57
025                  ZKV-31415                            198
026                  BMN-57337                            148
027                  HVX-35287                            176
028                  NXD-76943                             95
029                  XJQ-35789                             85
030                  CDC-36833                            194
031                  EFG-46945                            107
032                  WBB-69295                             44
033                  JPJ-26459                             13
034                  JYL-79355                            190
035                  TRM-27792                             53
036                  YLW-92835                            134
037                  PQJ-67335                             12
038                  ZHA-83572                             78
039                  SZA-87265                            172
040                  HVX-35287                            139
041                  HCY-32686                             84
042                  AAV-93236                             20
043                  TNX-51117                            136
044                  HZF-45469                             94
045                  XJQ-35789                              1
046                  YMA-56284                            118
047                  ZXB-54692                             36
048                  HVE-32966                             29
049                  HNB-76282                            111
050                  PNF-53949                             77
051                  EFG-46945                            145
052                  VJN-37687                              8
053                  BTN-83953                             35
054                  ANR-65636                             30
055                  DHY-22445                             93
056                  RLT-57887                             43
057                  YBD-67688                              6
058                  BTG-65524                            171
059                  KMP-52243                             40
060                  TNG-52497                            173
061                  GMS-89977                            177
062                  XKG-42573                            155
063                  FYK-67999                            191
064                  HNB-76282                             33
065                  KDV-97563                            187
066                  WQB-83823                              9
067                  TXF-47848                             79
068                  ZXB-54692                            192
069                  KDV-97563                            185
070                  HCY-32686                            182
071                  GMS-89977                             17
072                  RGZ-73449                             23
073                  TNG-52497                            100
074                  JPJ-26459                            184
075                  LZL-53762                            175
076                  YBD-67688                             34
077                  HVX-35287                             64
078                  VXR-68924                             31
079                  WQM-46249                            113
080                  QBZ-39849                            183
081                  PZV-75529                             45
082                  PZV-75529                            159
083                  VXR-68924                            126
084                  ZXB-54692                            152
085                  VJN-37687                            131
086                  HNB-76282                             98
087                  TRM-27792                             60
088                  GUJ-74444                              4
089                  WQB-83823                             16
090                  YBD-67688                             37
091                  BTN-83953                            143
092                  JPJ-26459                             80
093                  KMP-52243                            162
094                  PHE-99329                             81
095                  CCG-95482                             11
096                  GBK-45859                            137
097                  YXL-38878                             50
098                  SPN-64546                            108
099                  HCY-32686                            189
100                  PZV-75529                             41
