User ID: 93168-04662

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TQC-49936                            133
002                  KWH-94256                             31
003                  KLA-57296                            158
004                  PNF-53949                            143
005                  YBD-67688                            165
006                  DAU-26394                            175
007                  ZPF-96697                            123
008                  SZA-87265                            171
009                  LNC-68448                             88
010                  LNC-68448                             29
011                  GMS-89977                            164
012                  KWH-94256                             96
013                  JPJ-26459                             53
014                  WMD-65834                            101
015                  TLT-23593                             82
016                  EPX-87469                            124
017                  VXR-68924                            185
018                  EFG-46945                            122
019                  JPJ-26459                              5
020                  KMP-52243                            178
021                  GBK-45859                            170
022                  LWR-78574                             92
023                  TNG-52497                              1
024                  SZA-87265                             51
025                  BCU-27839                             23
026                  YMA-56284                            136
027                  WQM-46249                             47
028                  YXL-38878                             25
029                  AJA-56777                             84
030                  TNG-52497                             28
031                  FNL-93857                              2
032                  SZA-87265                            109
033                  TNX-51117                             79
034                  GBK-45859                            153
035                  DAU-26394                             72
036                  HVX-35287                            126
037                  URL-32968                             87
038                  LWR-78574                            119
039                  AJA-56777                             65
040                  KLA-57296                             60
041                  ANR-65636                            129
042                  JPJ-26459                             95
043                  ZPF-96697                             68
044                  XKG-42573                            110
045                  FTD-84699                            141
046                  HNB-76282                            111
047                  PQJ-67335                             91
048                  NMA-58554                            159
049                  GUJ-74444                            146
050                  EFG-46945                            181
051                  KDV-97563                             64
052                  XRT-73276                             58
053                  LNC-68448                            107
054                  EFG-46945                             45
055                  PQJ-67335                            132
056                  KQA-89952                            114
057                  VJN-37687                             66
058                  BMN-57337                             44
059                  RLT-57887                            161
060                  LWR-78574                             74
061                  AAV-93236                             10
062                  GMS-89977                             26
063                  JVL-65247                             57
064                  CCG-95482                            163
065                  NMA-58554                            172
066                  URL-32968                            196
067                  QBZ-39849                             15
068                  PHE-99329                             61
069                  WMD-65834                            142
070                  RLT-57887                             70
071                  BCU-27839                            157
072                  NVE-67597                             11
073                  ZXB-54692                            180
074                  KLA-57296                              9
075                  HNB-76282                            100
076                  HVE-32966                            151
077                  RLT-57887                            116
078                  VWM-74278                            134
079                  TXF-47848                            155
080                  NHP-43928                            121
081                  YLW-92835                            150
082                  TNX-51117                             27
083                  SZA-87265                             83
084                  RGZ-73449                             69
085                  CPU-63784                             30
086                  EFG-46945                             54
087                  NVE-67597                            166
088                  TQC-49936                             17
089                  AAV-93236                            187
090                  JVL-65247                            120
091                  VJN-37687                             86
092                  XBC-95594                            149
093                  WBB-69295                             42
094                  PHE-99329                             38
095                  DAU-26394                             18
096                  AAV-93236                            189
097                  LWR-78574                            169
098                  FTD-84699                            147
099                  CQS-93978                            113
100                  HNB-76282                            135
