User ID: 33618-79986

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQM-46249                             85
002                  FNR-28782                             21
003                  XRT-73276                             49
004                  YBD-67688                            169
005                  AAV-93236                             66
006                  NHP-43928                             24
007                  ZPF-96697                            181
008                  LZL-53762                             63
009                  KDV-97563                            175
010                  KQA-89952                             89
011                  LWR-78574                             35
012                  KLA-57296                             14
013                  GBK-45859                            116
014                  YBD-67688                            107
015                  WBB-69295                            145
016                  URL-32968                             67
017                  PNF-53949                             33
018                  PWT-38779                            192
019                  URL-32968                            168
020                  ANR-65636                             74
021                  KLA-57296                            164
022                  ZHA-83572                             92
023                  PQJ-67335                             12
024                  CCG-95482                             45
025                  TNG-52497                             11
026                  YBD-67688                            154
027                  BMN-57337                            198
028                  CPU-63784                            103
029                  KQA-89952                             88
030                  FNL-93857                            114
031                  LWR-78574                            153
032                  AJA-56777                             97
033                  WMD-65834                            111
034                  GUJ-74444                            118
035                  QBD-79865                             25
036                  JVL-65247                             41
037                  XRT-73276                             68
038                  PNF-53949                            113
039                  KQA-89952                             60
040                  BMN-57337                             86
041                  EPX-87469                             69
042                  ZPF-96697                             94
043                  SPN-64546                             70
044                  FTD-84699                             65
045                  ZKV-31415                             28
046                  QBZ-39849                            183
047                  WQB-83823                            195
048                  XJQ-35789                            122
049                  RGZ-73449                            150
050                  XBC-95594                             57
051                  FNR-28782                            176
052                  XRT-73276                            162
053                  FTD-84699                            143
054                  KQA-89952                            151
055                  YXL-38878                            147
056                  HZF-45469                            146
057                  WQM-46249                             91
058                  WMD-65834                             78
059                  XBC-95594                             22
060                  QBZ-39849                            157
061                  YMA-56284                             98
062                  YBD-67688                             18
063                  NWL-28282                             53
064                  PQJ-67335                             93
065                  HVE-32966                            191
066                  FNR-28782                            155
067                  HKZ-33728                             27
068                  PNF-53949                             32
069                  KLA-57296                             52
070                  TQC-49936                            115
071                  RGZ-73449                             15
072                  ZXB-54692                            110
073                  CQS-93978                              9
074                  EPX-87469                            117
075                  WQM-46249                             80
076                  KDV-97563                            139
077                  ZPF-96697                             90
078                  PQJ-67335                            178
079                  QBZ-39849                             50
080                  NMA-58554                             83
081                  KDV-97563                            158
082                  YMA-56284                             87
083                  TNG-52497                            130
084                  SZA-87265                             99
085                  TNG-52497                             39
086                  NWL-28282                            189
087                  NWL-28282                            135
088                  QBD-79865                            182
089                  WQB-83823                             37
090                  XJQ-35789                            126
091                  BCU-27839                             61
092                  FNL-93857                             51
093                  JYL-79355                            165
094                  YBD-67688                            104
095                  HVE-32966                             43
096                  KDV-97563                             95
097                  PHE-99329                            133
098                  VWM-74278                            194
099                  AAV-93236                            163
100                  BMN-57337                            121
